q_dirs,event_class,rows,counterfactual_event_cost,positive_counterfactual_event_cost,positive_err2_increment_t3,counterfactual_q4_minus_q16
4,path_only,252,1.310968977578008,1.7763482396315158,2.060697585297733,1.3290102935957107
4,quiet,4925,0.6096226589254437,0.9921399445673876,0.7692525621022777,0.24677728727338327
4,vote_only,6327,-0.42459543396831223,0.770489417921826,0.4908766998684994,-0.4237022764859664
4,vote_path_coincident,1296,-0.5022328944019141,0.5369924753913905,0.3389214005490104,-0.4243556449923176
8,path_only,75,0.3620488207582709,0.4239666128246221,1.0840768909091947,1.3290102935957107
8,quiet,1431,0.40787790444727423,0.6094839464483205,0.44296283278370535,0.24677728727338327
8,vote_only,9950,-0.028970939994895417,0.6270384199683678,0.3661237204047831,-0.4237022764859664
8,vote_path_coincident,1344,-0.15558740697360848,0.582336945852935,0.6030374052721076,-0.4243556449923176
16,path_only,14,-0.018041316017702754,0.02931895213015735,0.9113011011035834,1.3290102935957107
16,quiet,435,0.3628453716520604,0.5472173954670064,0.5447332502930247,0.24677728727338327
16,vote_only,11114,-0.0008931574823458106,0.5391994007456924,0.33499896009378916,-0.4237022764859664
16,vote_path_coincident,1237,-0.07787724940959648,0.5707073144561251,0.5670432735167334,-0.4243556449923176
