q_dirs,traj,tr,delay,rep,paired_id,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
4,circle,0.25,12,0,q4_circle_tr0.25_d12_rep0,0.7282885898722526,0.7255857719978774,0.0027028178743752074
4,circle,0.25,12,1,q4_circle_tr0.25_d12_rep1,0.7605249763867881,0.7419590463502649,0.01856593003652318
4,circle,0.25,12,2,q4_circle_tr0.25_d12_rep2,0.7516547049785346,0.7515233573260152,0.00013134765251943126
4,circle,0.25,12,3,q4_circle_tr0.25_d12_rep3,0.7130218443659214,0.7688146980250057,-0.05579285365908426
4,circle,0.25,12,4,q4_circle_tr0.25_d12_rep4,0.7062426625528616,0.7604978852496089,-0.05425522269674732
4,circle,0.25,12,5,q4_circle_tr0.25_d12_rep5,0.7544243586102231,0.7853733331289761,-0.030948974518753003
4,circle,0.25,12,6,q4_circle_tr0.25_d12_rep6,0.7523946650109813,0.7084609966611428,0.04393366834983847
4,circle,0.25,12,7,q4_circle_tr0.25_d12_rep7,0.7219365006756747,0.801958006983521,-0.08002150630784632
4,circle,0.25,34,0,q4_circle_tr0.25_d34_rep0,1.5294900621972787,1.7468463689017932,-0.21735630670451456
4,circle,0.25,34,1,q4_circle_tr0.25_d34_rep1,1.5625281037698313,1.66805566943761,-0.10552756566777877
4,circle,0.25,34,2,q4_circle_tr0.25_d34_rep2,1.6213326275307074,1.698615343632814,-0.07728271610210657
4,circle,0.25,34,3,q4_circle_tr0.25_d34_rep3,1.6185153597975543,1.62183130976836,-0.003315949970805754
4,circle,0.25,34,4,q4_circle_tr0.25_d34_rep4,1.5663867107461416,1.7611780739368654,-0.19479136319072388
4,circle,0.25,34,5,q4_circle_tr0.25_d34_rep5,1.6017262002748156,1.6371986747191387,-0.03547247444432311
4,circle,0.25,34,6,q4_circle_tr0.25_d34_rep6,1.5740275341741004,1.684819557102753,-0.11079202292865276
4,circle,0.25,34,7,q4_circle_tr0.25_d34_rep7,1.509303398833183,1.725248639631193,-0.21594524079801003
4,circle,0.35,12,0,q4_circle_tr0.35_d12_rep0,0.718181242873875,0.7780887496016319,-0.05990750672775691
4,circle,0.35,12,1,q4_circle_tr0.35_d12_rep1,0.7408553037702067,0.7196686295498695,0.021186674220337154
4,circle,0.35,12,2,q4_circle_tr0.35_d12_rep2,0.6928682306375656,0.8467296491864568,-0.15386141854889113
4,circle,0.35,12,3,q4_circle_tr0.35_d12_rep3,0.703971457213584,0.7977251804806557,-0.09375372326707165
4,circle,0.35,12,4,q4_circle_tr0.35_d12_rep4,0.8161388103628172,0.7715255515701558,0.044613258792661425
4,circle,0.35,12,5,q4_circle_tr0.35_d12_rep5,0.7838071349803531,0.7944927827039469,-0.010685647723593705
4,circle,0.35,12,6,q4_circle_tr0.35_d12_rep6,0.7262868522488756,0.7966359098991296,-0.07034905765025401
4,circle,0.35,12,7,q4_circle_tr0.35_d12_rep7,0.7944444455866444,0.7932825022587623,0.001161943327882109
4,circle,0.35,34,0,q4_circle_tr0.35_d34_rep0,1.5272270469133662,1.6675327717710509,-0.14030572485768467
4,circle,0.35,34,1,q4_circle_tr0.35_d34_rep1,1.4696985745164084,1.7242574950165406,-0.2545589205001322
4,circle,0.35,34,2,q4_circle_tr0.35_d34_rep2,1.4546375138850098,1.5519100994530444,-0.09727258556803453
4,circle,0.35,34,3,q4_circle_tr0.35_d34_rep3,1.453822803054335,1.678421454074951,-0.22459865102061594
4,circle,0.35,34,4,q4_circle_tr0.35_d34_rep4,1.4853789126446213,1.7417655892198785,-0.25638667657525716
4,circle,0.35,34,5,q4_circle_tr0.35_d34_rep5,1.4579179892021836,1.6974101135290254,-0.23949212432684175
4,circle,0.35,34,6,q4_circle_tr0.35_d34_rep6,1.432182828819168,1.7071012912093093,-0.2749184623901413
