contrast,metric,mean,ci95_low,ci95_high,n_paired_clusters,fraction_positive
q4_minus_q16,vote_switch_chord2_mean,0.2358027337539764,0.13164314304030875,0.346517344428678,128,0.6953125
q4_minus_q16,agg_cell_jump_chord2_mean,0.08272397221949838,-0.03797080972674645,0.21578135555552846,128,0.59375
q4_minus_q16,vote_path_coincident_rate,0.004609374999999999,-0.013677734375000002,0.024142578124999984,128,0.2265625
q4_minus_q16,positive_err2_increment_t3,0.24818177658166482,0.2013329340225821,0.2952831146639675,128,0.7265625
q4_minus_q16,counterfactual_event_cost_mean,-0.004336498509356875,-0.011948436661032725,0.0032715459488590008,128,0.5078125
q4_minus_q16,positive_counterfactual_event_cost,0.30991695949003306,0.24822264709670377,0.3679565302696701,128,0.78125
