q_dirs,metric,mean,ci95_low,ci95_high,n_clusters
4,vote_switch_chord2_mean,0.687025,0.5900036718749999,0.7980221875,128
4,agg_cell_jump_chord2_mean,0.71609375,0.59937109375,0.8362695312499999,128
4,vote_path_coincident_rate,0.10125,0.07984375000000002,0.124375,128
4,positive_err2_increment_t3,0.6134410543821956,0.5539752747619301,0.6745481378399077,128
4,counterfactual_event_cost_mean,-0.0004069506800986022,-0.005258901134829156,0.004157838135278199,128
4,positive_counterfactual_event_cost,0.8518827844243821,0.7711654167731214,0.9369675372968852,128
8,vote_switch_chord2_mean,0.6463071789012246,0.5581237538944035,0.7561509276465224,128
8,agg_cell_jump_chord2_mean,1.013680161196215,0.8717851242714565,1.1621573184420313,128
8,vote_path_coincident_rate,0.10500000000000001,0.08804492187500002,0.12328515624999999,128
8,positive_err2_increment_t3,0.40396812871889975,0.3554154359819225,0.45212097313487853,128
8,counterfactual_event_cost_mean,0.008754341264940402,0.000982016897869993,0.0173294557053368,128
8,positive_counterfactual_event_cost,0.619156433073395,0.5522476309892023,0.6873612929027264,128
16,vote_switch_chord2_mean,0.4512222662460237,0.37310459432199894,0.5447754432636832,128
16,agg_cell_jump_chord2_mean,0.6333697777805016,0.5363944771447947,0.7348686439879806,128
16,vote_path_coincident_rate,0.09664062500000001,0.080072265625,0.11461132812500001,128
16,positive_err2_increment_t3,0.3652592778005308,0.3111885186977112,0.4156582970388557,128
16,counterfactual_event_cost_mean,0.0039295478292582725,-0.001463630913581955,0.009598575029503157,128
16,positive_counterfactual_event_cost,0.5419658249343492,0.4739874569464641,0.6151140480727203,128
