q_dirs,traj,tr,delay,rep,paired_id,vote_bin_switch_rate,vote_switch_chord2_mean,agg_cell_switch_rate,agg_cell_jump_chord2_mean,agg_boundary_proximity_mean,path_event_rate,endpoint_wrap_rate,branch_event_rate,vote_path_coincident_rate,positive_err2_increment_t3,positive_err2_increment_honest,counterfactual_event_cost_mean,positive_counterfactual_event_cost,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
4,circle,0.25,12,0,q4_circle_tr0.25_d12_rep0,0.2452,0.4904,0.25,0.5,0.1205582928913587,0.0,0.0,0.0,0.0,0.33293071626954396,0.3321095052303165,0.001089206793037292,0.5434413027729839,0.7282885898722526,0.7255857719978774,0.0027028178743752074
4,circle,0.25,12,1,q4_circle_tr0.25_d12_rep1,0.2848,0.5696,0.29,0.58,0.10552595665128651,0.0,0.0,0.0,0.0,0.3667381655502316,0.34840032014285144,0.010983769527150213,0.5517302057837544,0.7605249763867881,0.7419590463502649,0.01856593003652318
4,circle,0.25,12,2,q4_circle_tr0.25_d12_rep2,0.2632,0.5264,0.27,0.54,0.09915014613108047,0.0,0.0,0.0,0.0,0.36468107038425296,0.34638070493893197,0.017468780984668593,0.5574532492995873,0.7516547049785346,0.7515233573260152,0.00013134765251943126
4,circle,0.25,12,3,q4_circle_tr0.25_d12_rep3,0.2532,0.5064,0.26,0.52,0.10920660326538488,0.0,0.0,0.0,0.0,0.3269652845738606,0.3675932413889039,-0.0007992483115856746,0.4971692765084941,0.7130218443659214,0.7688146980250057,-0.05579285365908426
4,circle,0.25,12,4,q4_circle_tr0.25_d12_rep4,0.25079999999999997,0.5016,0.24,0.48,0.10316994204368508,0.0,0.0,0.0,0.0,0.31014002936443935,0.3526244505482779,-0.0006184418123530175,0.3783723764695835,0.7062426625528616,0.7604978852496089,-0.05425522269674732
4,circle,0.25,12,5,q4_circle_tr0.25_d12_rep5,0.24480000000000002,0.48960000000000004,0.25,0.5,0.10534866216175455,0.0,0.0,0.0,0.0,0.3462501686326968,0.37825408954569356,-0.01844462765286687,0.5421230987015534,0.7544243586102231,0.7853733331289761,-0.030948974518753003
4,circle,0.25,12,6,q4_circle_tr0.25_d12_rep6,0.24059999999999998,0.48119999999999996,0.25,0.5,0.09522668295095396,0.0,0.0,0.0,0.0,0.3602819027134995,0.3233023284299701,0.016443108739208886,0.49069244776208254,0.7523946650109813,0.7084609966611428,0.04393366834983847
4,circle,0.25,12,7,q4_circle_tr0.25_d12_rep7,0.2426,0.48519999999999996,0.24,0.48,0.09798219838183984,0.0,0.0,0.0,0.0,0.3347747532728129,0.3851776687736036,0.001917703496318053,0.4094276031757329,0.7219365006756747,0.801958006983521,-0.08002150630784632
4,circle,0.25,34,0,q4_circle_tr0.25_d34_rep0,0.192,0.384,0.19,0.38,0.0690708440525434,0.0,0.0,0.0,0.0,0.946761234747858,0.9974912606081744,-0.03810621955348184,1.4123745379845647,1.5294900621972787,1.7468463689017932,-0.21735630670451456
4,circle,0.25,34,1,q4_circle_tr0.25_d34_rep1,0.19519999999999998,0.39039999999999997,0.19,0.38,0.07518079164485261,0.0,0.0,0.0,0.0,0.9682682848477961,0.9264968849193741,-0.012355134961416327,1.3228668278532245,1.5625281037698313,1.66805566943761,-0.10552756566777877
4,circle,0.25,34,2,q4_circle_tr0.25_d34_rep2,0.1938,0.3876,0.19,0.38,0.079434280649577,0.0,0.0,0.0,0.0,1.0052046583327288,0.9305470922796911,-0.007832612409970414,1.3201078330342264,1.6213326275307074,1.698615343632814,-0.07728271610210657
4,circle,0.25,34,3,q4_circle_tr0.25_d34_rep3,0.2032,0.4064,0.2,0.4,0.0908277322627958,0.0,0.0,0.0,0.0,1.0141839949020195,0.8893824889873034,0.07480524875069346,1.3751377659346442,1.6185153597975543,1.62183130976836,-0.003315949970805754
4,circle,0.25,34,4,q4_circle_tr0.25_d34_rep4,0.1948,0.3896,0.19,0.38,0.08849134245764341,0.0,0.0,0.0,0.0,0.9685170631515964,0.9758133178783434,-0.001479862466640872,1.218864199357832,1.5663867107461416,1.7611780739368654,-0.19479136319072388
4,circle,0.25,34,5,q4_circle_tr0.25_d34_rep5,0.19940000000000002,0.39879999999999993,0.2,0.4,0.08192204015587651,0.0,0.0,0.0,0.0,1.0010578722903571,0.8964398902150115,0.03654456315642159,1.3187484549327277,1.6017262002748156,1.6371986747191387,-0.03547247444432311
4,circle,0.25,34,6,q4_circle_tr0.25_d34_rep6,0.2046,0.4092,0.2,0.4,0.09548164576541426,0.0,0.0,0.0,0.0,0.967839055034298,0.9260915451847823,0.054518574023688995,1.5881959003706887,1.5740275341741004,1.684819557102753,-0.11079202292865276
4,circle,0.25,34,7,q4_circle_tr0.25_d34_rep7,0.1968,0.3936,0.19,0.38,0.07657592181863487,0.0,0.0,0.0,0.0,0.930099017956019,0.966006667366832,-0.0020975915748394918,1.2823474660782108,1.509303398833183,1.725248639631193,-0.21594524079801003
4,circle,0.35,12,0,q4_circle_tr0.35_d12_rep0,0.3114,0.6228,0.31,0.62,0.1914919370332961,0.0,0.0,0.0,0.0,0.39789469189053706,0.3835533407713968,-0.020502796489367633,0.560123572984202,0.718181242873875,0.7780887496016319,-0.05990750672775691
4,circle,0.35,12,1,q4_circle_tr0.35_d12_rep1,0.31379999999999997,0.6275999999999999,0.33,0.66,0.20920571047084,0.0,0.0,0.0,0.0,0.40692234715910675,0.3355220004731963,0.01127130468497179,0.49920241143924243,0.7408553037702067,0.7196686295498695,0.021186674220337154
4,circle,0.35,12,2,q4_circle_tr0.35_d12_rep2,0.3152,0.6304,0.32,0.64,0.2019576860519665,0.0,0.0,0.0,0.0,0.3880775988337135,0.3844886191408787,0.009083185787770202,0.5615948099423265,0.6928682306375656,0.8467296491864568,-0.15386141854889113
4,circle,0.35,12,3,q4_circle_tr0.35_d12_rep3,0.3148,0.6296,0.32,0.64,0.20226846277682525,0.0,0.0,0.0,0.0,0.3961990743700322,0.3792369236063405,0.005395392830367347,0.5719854341173022,0.703971457213584,0.7977251804806557,-0.09375372326707165
4,circle,0.35,12,4,q4_circle_tr0.35_d12_rep4,0.252,0.504,0.25,0.5,0.16051375336661178,0.0,0.0,0.0,0.0,0.38084379586042383,0.35832910366302695,0.00855863874676698,0.5469223472312199,0.8161388103628172,0.7715255515701558,0.044613258792661425
4,circle,0.35,12,5,q4_circle_tr0.35_d12_rep5,0.2828,0.5656,0.29,0.58,0.17272137008407043,0.0,0.0,0.0,0.0,0.40248356367931337,0.3889416439190472,0.006750759080995354,0.5745832927861134,0.7838071349803531,0.7944927827039469,-0.010685647723593705
4,circle,0.35,12,6,q4_circle_tr0.35_d12_rep6,0.3064,0.6128,0.31,0.62,0.18069808813841332,0.0,0.0,0.0,0.0,0.3979389290022121,0.3849480676081305,0.013248680796899243,0.5398271163121711,0.7262868522488756,0.7966359098991296,-0.07034905765025401
4,circle,0.35,12,7,q4_circle_tr0.35_d12_rep7,0.26539999999999997,0.5307999999999999,0.27,0.54,0.16173030446001246,0.0,0.0,0.0,0.0,0.4193004607477077,0.38327274415563345,0.013423353725421971,0.5401095577630877,0.7944444455866444,0.7932825022587623,0.001161943327882109
4,circle,0.35,34,0,q4_circle_tr0.35_d34_rep0,0.18280000000000002,0.36560000000000004,0.18,0.36,0.11693499677411291,0.0,0.0,0.0,0.0,1.0130403286502294,0.9139657158988082,0.02051315861198828,1.2360788581671769,1.5272270469133662,1.6675327717710509,-0.14030572485768467
4,circle,0.35,34,1,q4_circle_tr0.35_d34_rep1,0.182,0.364,0.18,0.36,0.11332319303841418,0.0,0.0,0.0,0.0,0.9576566754168316,0.9103776624351417,0.0007472596754714572,1.0958680490408401,1.4696985745164084,1.7242574950165406,-0.2545589205001322
4,circle,0.35,34,2,q4_circle_tr0.35_d34_rep2,0.1812,0.3624,0.18,0.36,0.11665522077094707,0.0,0.0,0.0,0.0,0.8979454967737018,0.8343257787435043,0.013720341377076693,1.199713785816652,1.4546375138850098,1.5519100994530444,-0.09727258556803453
4,circle,0.35,34,3,q4_circle_tr0.35_d34_rep3,0.2306,0.4612,0.24,0.48,0.1601871756630346,0.0,0.0,0.0,0.0,0.9368106233245197,0.9268555417823419,-0.007760868231265352,1.0509802022471415,1.453822803054335,1.678421454074951,-0.22459865102061594
4,circle,0.35,34,4,q4_circle_tr0.35_d34_rep4,0.1808,0.3616,0.18,0.36,0.11140347187457107,0.0,0.0,0.0,0.0,1.0025799326248508,0.9682000518074855,0.010322579398284062,1.1686310831441784,1.4853789126446213,1.7417655892198785,-0.25638667657525716
4,circle,0.35,34,5,q4_circle_tr0.35_d34_rep5,0.183,0.366,0.18,0.36,0.12749045210856644,0.0,0.0,0.0,0.0,0.9302464698971958,0.9540557332043575,-0.015555443017578992,1.1756099178598847,1.4579179892021836,1.6974101135290254,-0.23949212432684175
4,circle,0.35,34,6,q4_circle_tr0.35_d34_rep6,0.192,0.384,0.19,0.38,0.12135373061009147,0.0,0.0,0.0,0.0,0.9351176737480035,0.9687648852647229,0.012100947203007506,1.2836654205236715,1.432182828819168,1.7071012912093093,-0.2749184623901413
4,circle,0.35,34,7,q4_circle_tr0.35_d34_rep7,0.1884,0.3768,0.19,0.38,0.1241032497921909,0.0,0.0,0.0,0.0,0.8864312949533197,0.9728582234420995,0.031396166879977226,1.3504394953290628,1.443443630232278,1.7204232743409602,-0.27697964410868225
4,lemniscate,0.25,12,0,q4_lemniscate_tr0.25_d12_rep0,0.3384,0.6816,0.35,0.7,0.09923132232383398,0.18,0.0,0.18,0.18,0.29150092348294443,0.3879990599332057,-0.006231307584392637,0.47141208130343615,0.6280946515246786,0.8225938258222678,-0.19449917429758923
4,lemniscate,0.25,12,1,q4_lemniscate_tr0.25_d12_rep1,0.268,0.5379999999999999,0.27,0.54,0.08496751923039511,0.22,0.0,0.22,0.21,0.3353523300226993,0.38989045125376837,-0.007682250223772046,0.3373903511245789,0.6409447676532749,0.826498794259596,-0.18555402660632114
4,lemniscate,0.25,12,2,q4_lemniscate_tr0.25_d12_rep2,0.45880000000000004,1.3684,0.49,1.5,0.13335395137706285,0.3,0.0,0.3,0.29,0.3104044130628323,0.38593078686892535,0.007087568279362955,0.5199044068784999,0.8817897336320515,0.8202158476995648,0.061573885932486694
4,lemniscate,0.25,12,3,q4_lemniscate_tr0.25_d12_rep3,0.7654000000000001,2.8308,0.84,3.18,0.17462685577114723,0.59,0.0,0.59,0.59,0.23503762777849438,0.38688073478858903,0.01820610600071285,0.4421617914018629,1.256798992033299,0.8231439985234074,0.43365499350989156
4,lemniscate,0.25,12,4,q4_lemniscate_tr0.25_d12_rep4,0.7656000000000001,2.8207999999999998,0.84,3.14,0.17835132912784918,0.42,0.0,0.42,0.42,0.3177577209984946,0.3877681524599787,0.01661650742204777,0.34981892723662106,1.2547656459469598,0.8228571816907746,0.43190846425618523
4,lemniscate,0.25,12,5,q4_lemniscate_tr0.25_d12_rep5,0.2716,0.5472,0.27,0.54,0.08642008922910849,0.21,0.0,0.21,0.2,0.33298216260287095,0.3887028804830388,-0.005038131260602169,0.3356525339584267,0.6444275346220325,0.8220606050707291,-0.17763307044869658
4,lemniscate,0.25,12,6,q4_lemniscate_tr0.25_d12_rep6,0.33899999999999997,0.7123999999999999,0.35,0.74,0.11388340209110974,0.17,0.0,0.17,0.17,0.33293854440382153,0.38424220790205627,0.008368397067493314,0.44917863073495307,0.675078547155817,0.8265017358622412,-0.15142318870642413
4,lemniscate,0.25,12,7,q4_lemniscate_tr0.25_d12_rep7,0.6716,2.3596,0.74,2.66,0.1643644399078324,0.37,0.0,0.37,0.37,0.32987189975294967,0.3882482411690627,0.015174288420561241,0.4959650747013403,1.1503102245374037,0.82354072482809,0.3267694997093137
4,lemniscate,0.25,34,0,q4_lemniscate_tr0.25_d34_rep0,0.233,0.4664,0.25,0.5,0.09388650314592274,0.14,0.0,0.14,0.08,0.9531999080045999,0.8510611816097863,0.055597897277454095,1.2705994307454418,1.5374431156204946,1.7266633586359972,-0.18922024301550255
4,lemniscate,0.25,34,1,q4_lemniscate_tr0.25_d34_rep1,0.2668,0.5992000000000001,0.27,0.62,0.10934017114958032,0.16,0.0,0.16,0.12,0.8673630561095421,0.8710679090759647,-0.013843038072424487,1.1145988463748862,1.4908613613958999,1.7157750057587307,-0.2249136443628308
4,lemniscate,0.25,34,2,q4_lemniscate_tr0.25_d34_rep2,0.22760000000000002,0.4932,0.23,0.5,0.07948763567780721,0.14,0.0,0.14,0.07,0.9105344107599286,0.833442386646123,-0.00474945251270521,1.2446561717687163,1.5464447239667927,1.6659262328108166,-0.11948150884402398
