q_dirs,traj,event_class,rows,vote_switch_chord2_mean,agg_cell_jump_chord2_mean,boundary_proximity,positive_err2_increment_t3,positive_err2_increment_honest,counterfactual_event_cost,positive_counterfactual_event_cost
4,circle,quiet,1259,0.0,0.0,0.001196814780303459,1.0312497172944022,0.732059459136984,0.7846672036682468,1.2805833223102119
4,circle,vote_only,1941,0.7715198351365276,0.7748583204533745,0.20350973664166025,0.4267243841060605,0.5959230873044842,-0.4994201533061469,0.6497989911119547
4,lemniscate,path_only,105,0.0,0.0,3.0346096006420946e-16,0.9512319109749665,0.8651011572221861,0.4297271162618559,1.1198294640154873
4,lemniscate,quiet,914,0.0,0.0,0.0015795665789999698,0.9568555141964699,0.739269855049933,0.7900527603621316,1.225547749176849
4,lemniscate,vote_only,1427,1.4075122634898387,1.4730203223545901,0.17331597054864853,0.5039282350981451,0.5933009039747243,-0.25400739189626564,0.7118107016831973
4,lemniscate,vote_path_coincident,754,2.513209549071618,2.8275862068965516,0.22873763388245485,0.23974049783411763,0.505583962052771,-0.5273477505826043,0.3585200346095636
4,square,path_only,45,0.0,0.0,0.0011311654531550141,4.125747016314198,2.8930258796845276,1.4594528941466083,1.4594528941466083
4,square,quiet,2005,0.0,0.0,0.0017467974040545641,0.14944585544801253,0.154879067970441,0.14591928709774218,0.2855264696902089
4,square,vote_only,980,0.5503673469387755,0.42857142857142855,0.1381464561272453,0.2784823227318219,0.6069659777846765,-0.3226416286646268,0.7107598530295778
4,square,vote_path_coincident,170,1.1397647058823528,1.7294117647058824,0.40621828825198636,0.46562290698250325,0.7936920463811338,-0.36474749141694945,0.3909564154131495
4,zigzag,path_only,102,0.0,0.0,0.0009583236067529741,2.2720613482631205,1.007426362201221,2.143504972330252,2.5870583825549986
4,zigzag,quiet,747,0.0,0.0,0.021374275703485462,1.7563845829855782,1.175546619442635,1.3344971905140275,2.1109282310685633
4,zigzag,vote_only,1979,1.1558969176351692,1.1773623041940373,0.22101900436561914,0.6497255245014059,0.9877723757226295,-0.5251434467706249,0.9606130113858903
4,zigzag,vote_path_coincident,372,1.000752688172043,1.032258064516129,0.25615317569456414,0.48079271878451535,0.8760815889402611,-0.5148669070112089,0.9646024986400681
8,circle,quiet,417,0.0,0.0,0.05099209769609984,0.20180940343395112,0.18501884397618137,0.1646349279167725,0.29649516413879257
8,circle,vote_only,2783,0.453132440235859,0.9739359875492021,0.34029298430954413,0.20106391533859402,0.32307185262814847,-0.03185713601245826,0.35867343501305704
8,lemniscate,path_only,43,0.0,0.0,0.016285232636394004,0.16549185944434705,0.1291191799244309,0.14916423616309002,0.22576657142729445
8,lemniscate,quiet,138,0.0,0.0,0.12609193958217038,0.2849811403675005,0.23559340114022778,0.2552408658614881,0.38593985534764613
8,lemniscate,vote_only,2499,0.8843609565012213,1.3054715684489027,0.4088809703975783,0.3952569502247631,0.40222319323311895,0.06319867362760666,0.5323151974959265
8,lemniscate,vote_path_coincident,520,1.9958668472473426,2.5374150848513763,0.3919921932644225,0.17767245633473933,0.3971017717034464,-0.37544056568387846,0.27741006058276035
8,square,path_only,11,0.0,0.0,0.03022941826127185,2.469337216433816,1.8731090954304777,0.6725092386912933,0.7490513532760161
8,square,quiet,571,0.0,0.0,0.05321833331567591,0.2181571816624828,0.10343739076597623,0.2786733828047539,0.3458392604814621
8,square,vote_only,2328,0.4508880581854001,0.8034786689153075,0.32838986275741655,0.22701446685428042,0.4824759000656638,-0.1184702803244104,0.5546589616724448
8,square,vote_path_coincident,290,0.8307787387086869,1.5138946112121479,0.45594369512228344,1.0511749818637048,1.1207010238218387,0.29289740212362647,0.9337849035456904
8,zigzag,path_only,21,0.0,0.0,0.003334595254118801,2.239376546729081,1.647397152231006,0.6353332274406294,0.6595223097350866
8,zigzag,quiet,305,0.0,0.0,0.015556979428403353,1.2669835816702106,0.6160242815328998,1.0532000765394054,1.6346849778766774
8,zigzag,vote_only,2340,0.892574697302866,1.1614611933370755,0.3189997972071769,0.6703491738114739,0.8163336542359318,-0.03485149163283119,1.1202633295167495
8,zigzag,vote_path_coincident,534,0.7201825702701722,1.2274643172106414,0.5067362362291461,0.7723720337239839,1.0139944350910282,-0.18502447649702483,0.6874404308415053
16,circle,quiet,108,0.0,0.0,0.28275317734873395,0.12789925807452715,0.06604119248986359,0.11524635284079085,0.1402240185384364
16,circle,vote_only,3092,0.21032325892554074,0.4417854634429716,0.410875373967185,0.12461116736661965,0.15580847184617894,-0.013242031736709924,0.203454618691063
16,lemniscate,path_only,9,0.0,0.0,0.10884180338908384,0.01178722250145357,0.046344202302247985,-0.004842247237654823,0.04560725886913366
16,lemniscate,quiet,45,0.0,0.0,0.48156093310868386,0.23351855708000804,0.07138809058215458,0.24384568210596128,0.2629626680179239
16,lemniscate,vote_only,2642,0.5469389827365921,0.7377985736624346,0.46316489083162027,0.29522877940187964,0.3310381927102922,0.02653624246263908,0.4208643586626603
16,lemniscate,vote_path_coincident,504,1.7271913424263645,2.045159908989569,0.527797064959986,0.11952249718679034,0.15396482253686328,-0.1561539833891058,0.2657249939152222
16,square,path_only,1,0.0,0.0,0.07517583022150676,2.668831753951328,2.73132468417933,-0.06249293022800195,0.0
16,square,quiet,163,0.0,0.0,0.20586557490362645,0.07235165269253711,0.07233742532801746,0.05341553946455581,0.10093534062934369
16,square,vote_only,2841,0.2671791001993125,0.4233811589736213,0.3407929569710005,0.2550889643145254,0.4194433120175759,-0.036926231816702335,0.44847721946389624
16,square,vote_path_coincident,195,0.7009010863233521,1.4284197412952724,0.5356122588669312,1.240840831967645,1.1408548055562138,0.3123959532302365,0.7615697610136561
16,zigzag,path_only,4,0.0,0.0,0.06996973075012408,2.4958246647464395,2.532450981966675,-0.03662631722023579,0.0
16,zigzag,quiet,119,0.0,0.0,0.22862776080003547,1.7193086378396507,0.6017654730863661,1.0751400068118848,1.6654622500092497
16,zigzag,vote_only,2539,0.6517605522365475,0.7341359827762338,0.37073232392043703,0.7221217453528195,0.808928635647037,0.025906690016121513,1.1729428540735216
16,zigzag,vote_path_coincident,538,0.481889748606825,0.77280500820142,0.5610146907442788,0.7373874498936122,1.1845639747165,-0.14700473729222552,0.7842324886659037
