q_dirs,vote_bin_switch_rate,vote_switch_chord2_mean,agg_cell_switch_rate,agg_cell_jump_chord2_mean,agg_boundary_proximity_mean,path_event_rate,vote_path_coincident_rate,positive_err2_increment_t3,counterfactual_event_cost_mean,positive_counterfactual_event_cost,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest,q_coarseness
4,0.2770890625,0.687025,0.281953125,0.71609375,0.12300756012560571,0.1209375,0.10125,0.6134410543821956,-0.00040695068009860157,0.8518827844243821,1.1446528506042182,1.338789572678473,-0.19413672207425509,0.25
8,0.4356203125,0.6463071789012246,0.530390625,1.013680161196215,0.325104418992617,0.110859375,0.105,0.40396812871889975,0.008754341264940402,0.6191564330733949,0.9379099657767567,1.151991795183386,-0.21408182940662926,0.125
16,0.6041359375,0.45122226624602363,0.643515625,0.6333697777805016,0.40548245955338735,0.097734375,0.096640625,0.3652592778005308,0.0039295478292582725,0.5419658249343492,0.8827773564314391,1.1049710378523394,-0.22219368142090046,0.0625
