traj,n,benefit,harm,mean_gap,mean_osc_change,mean_tail_delta
circle,24,17,7,0.18615540209827994,-5.759063235122912,-0.00861552028218695
lemniscate,24,16,8,0.18784821425450618,8.411164716950102,0.09564638447971781
square,24,23,1,0.3108830575365386,-18.950587037688482,-0.02876829805996473
zigzag,24,22,2,0.18769772272572163,-8.848336222740508,-0.014761904761904763
