model,features,r2_in_sample,mae_in_sample,coef_energy_relief,r2_loocv,mae_loocv,coef_osc_change_pct,coef_edot_change_pct,coef_tail_delta,coef_abs_relief,coef_delta_perp_abs
local_relief_only,energy_relief,0.10284808823838232,0.21994938044865395,-0.09866031440790454,0.0520795937634464,0.22543970155918072,,,,,
cost_terms_only,"osc_change_pct, edot_change_pct, tail_delta",0.5837141671559578,0.14166600320810144,,0.5351864384880851,0.1497574521450816,-0.2154884579995614,-0.010671817358605593,-0.013533003791622117,,
relief_plus_cost,"energy_relief, osc_change_pct, edot_change_pct, tail_delta",0.6478926277081054,0.12991727274945278,-0.0791693478160769,0.5869219030998681,0.1398541273554729,-0.20699106631568298,0.018682055183961238,-0.04011051346921912,,
relief_abs_plus_cost,"abs_relief, osc_change_pct, edot_change_pct, tail_delta",0.6562555964442429,0.13004438728486348,,0.6033345253146664,0.13939959641502855,-0.2037291457104636,0.010028200869273751,-0.037785158155458715,-0.08349589130144444,
relief_cost_with_projection_magnitude,"energy_relief, delta_perp_abs, osc_change_pct, edot_change_pct, tail_delta",0.6806481765015185,0.12573888355142496,-0.04662379708269305,0.6197206907375963,0.13668521065354564,-0.20001142155070953,-0.015245859853264692,-0.010778461673889465,,0.06570958607697
