delay,n,benefit,harm,mean_gap,mean_osc_change,mean_tail_delta
0,12,5,7,0.03084558965997808,20.51962368605692,0.05203439153439154
8,12,8,4,-0.07955562369612591,16.494420462730652,0.12495238095238094
18,12,10,2,0.08297967638508479,-8.441671586868027,0.04503880070546737
26,12,12,0,0.2523431551298033,-20.229495106441494,-0.03720238095238095
34,12,12,0,0.3436043272783739,-24.2837036279834,-0.033488977072310404
44,12,10,2,0.2631505007423785,-7.678698703701922,-0.005494708994708999
56,12,11,1,0.37245041781960825,-11.178756928456933,-0.028089506172839507
68,12,10,2,0.47935074991099175,-15.495361752539402,-0.03074867724867725
