traj,tr,delay,gap_h_minus_t3,energy_relief,abs_relief,osc_change_pct,edot_change_pct,tail_delta,mechanism_class
circle,0.2,0,-0.05957113930178165,0.5560404588078831,0.34523095468138754,1.4965524687947598,19.83519801448371,0.08105291005291006,harm_cost_dominance
circle,0.2,34,0.22257267447631413,0.9745353029273578,0.8948795372939911,-24.088328420453102,-11.906349853098163,-0.035783068783068785,benefit
circle,0.2,44,-0.23851637932155478,0.9806553987473449,0.925376841690553,40.684429483958986,46.60913401617069,0.09547089947089947,harm_cost_dominance
circle,0.2,56,0.2772983526251853,0.9688427861146723,0.8780146781171452,-20.477625088271893,-11.447755811068253,-0.047063492063492064,benefit
circle,0.3,0,-0.02952405018188342,0.41828447637443206,0.2900505945921239,14.89872953348083,92.23915795227154,0.050910052910052905,harm_cost_dominance
circle,0.3,34,0.3290213866896017,0.5849771913238632,0.41992478975429415,-31.198836015015907,-8.697071763001798,-0.04708994708994709,benefit
circle,0.3,44,-0.19344753046142826,0.6571662590242159,0.5502286511172766,37.11411688436154,50.888058737228334,0.08017460317460316,harm_cost_dominance
circle,0.3,56,-0.007366058082605154,0.6095458347679281,0.49550797739511027,19.26756847866856,26.301194375088276,0.02807936507936508,harm_cost_dominance
circle,0.4,0,-0.00338201960438661,0.5672966135777688,0.40772102524359766,14.110679107611556,196.05500987587772,0.002899470899470895,harm_cost_dominance
circle,0.4,8,-0.004731995407816714,0.5219051647131544,0.36620209168689294,6.886907809399101,112.80570473790601,0.010693121693121692,harm_cost_dominance
circle,0.4,34,0.6793668046904928,0.27046582940318975,0.12734570130464878,-67.37138530395698,21.374877583470806,-0.05,benefit
circle,0.4,44,0.2560426485032481,0.2780055589848114,0.17460611343194624,-12.951625654533434,39.087541508381086,-0.03265608465608466,benefit
circle,0.4,56,0.19975577822236312,0.2394446765199631,0.16996166468050042,9.42760671811185,37.16050744971055,-0.022661375661375664,benefit
lemniscate,0.2,0,-0.09185922272121444,0.01760310865564172,-0.016074942943773183,42.8884158759955,47.64889945812584,0.15980423280423278,harm_cost_dominance
lemniscate,0.2,8,-0.48416321459730893,0.986811654836547,0.9282376417380379,105.1451884384002,781.8992156691713,0.4635978835978836,harm_cost_dominance
lemniscate,0.3,0,-0.13011412765421032,-0.18831142170436121,-0.09555970115106856,55.59150014769929,51.790247734606524,0.22205291005291006,harm_with_local_reversal
lemniscate,0.3,8,-0.6581319795897618,0.7890851449906059,0.5486167026057157,139.03682208707653,742.5952875734008,0.6537619047619048,harm_cost_dominance
lemniscate,0.3,18,-0.2556515678144672,0.881179857259522,0.7888560870847818,27.3191596136163,711.1478145785125,0.3508677248677249,harm_cost_dominance
lemniscate,0.4,0,-0.12061837745843787,0.4418110440831753,0.3162587671826062,54.59937672729297,70.50075128293781,0.19292063492063494,harm_cost_dominance
lemniscate,0.4,8,-0.5568143115048545,0.6602765499486699,0.5325888111197632,118.05179508779628,751.4624791978498,0.5597089947089947,harm_cost_dominance
lemniscate,0.4,18,-0.24271402619642568,0.6535624240570438,0.39616544296615236,23.4553023191705,749.7543899337538,0.38242328042328044,harm_cost_dominance
square,0.4,0,-0.020568283031854706,0.5114317718738237,0.37229509206621947,73.71048652973238,221.05455453339843,0.04802645502645503,harm_cost_dominance
zigzag,0.2,68,-0.007453251657773663,0.7614247628727484,0.6323212734683789,2.433243986781028,-8.99557397961605,0.006402116402116402,harm_or_neutral_unclear
zigzag,0.3,68,-0.16314180191375005,0.6974392524159718,0.5784489329877196,6.901753888512579,-6.3089769994062825,0.02556613756613757,harm_or_neutral_unclear
