traj,tr,delay,mc,boot,gap_h_minus_t3,gap_h_minus_t3_ci_lo,gap_h_minus_t3_ci_hi,energy_relief,energy_relief_ci_lo,energy_relief_ci_hi,abs_relief,abs_relief_ci_lo,abs_relief_ci_hi,osc_change_pct,osc_change_pct_ci_lo,osc_change_pct_ci_hi,edot_change_pct,edot_change_pct_ci_lo,edot_change_pct_ci_hi,tail_delta,tail_delta_ci_lo,tail_delta_ci_hi,raw_cos_vel,raw_cos_vel_ci_lo,raw_cos_vel_ci_hi,mechanism_class_mean
circle,0.2,0,50,1000,-0.0596121778290805,-0.06250167769892662,-0.05669792769899129,0.5555562143430107,0.5349259212241879,0.5760090543496882,0.3449728953325302,0.32895272911180407,0.3615763610580248,1.5227237253817338,0.5989871368602907,2.4986868958526087,19.849123729336995,19.01748290122943,20.740709064889703,0.08107842857142857,0.0736755291005291,0.08912275132275131,-0.9938478874348007,-0.9940238858041855,-0.9936770772423388,harm_cost_dominance
circle,0.2,8,50,1000,0.04073444086565868,0.035312949511492185,0.04637299961368778,0.9809414704892402,0.9781350799997495,0.983278655006772,0.9322217783821373,0.9274775667843443,0.9363139025482307,-0.08642400395771588,-2.7859217317407095,2.6761224113304425,19.27464719010422,18.18005564502041,20.313865672982864,-0.02729578306878307,-0.02997910052910053,-0.024660846560846564,-0.9957204835425305,-0.9958558175404523,-0.9955683029779185,benefit
circle,0.2,18,50,1000,0.08759728176836108,0.0800177685269885,0.09602148290180723,0.9862220444415173,0.9848575882516808,0.9875681071337595,0.9499079667721215,0.9460373014055525,0.9531490435033371,-22.642081014078514,-26.41391676483141,-18.216523262259365,3.281504547590658,0.10876865883998264,6.450135365534436,-0.01819961904761905,-0.02382314814814815,-0.013089682539682545,-0.9964038243829851,-0.9966128618650697,-0.9961984273787581,benefit
circle,0.2,26,50,1000,0.08494322602444572,0.07179175534510386,0.09718169659382726,0.9791148116631259,0.9769124435009586,0.9814096091959674,0.9305242698580214,0.9236856045615188,0.9374606347490866,-1.6325660614813113,-5.063204488078934,1.95225631860878,8.491150163680544,5.526495889404655,11.65627540330949,-0.022890962962962967,-0.02640740740740741,-0.01920013227513228,-0.9939091075515533,-0.9941194952273283,-0.9936979559203664,benefit
circle,0.2,34,50,1000,0.22252934910600003,0.2069107807704764,0.2388297736822233,0.9745059850447126,0.9713738772499421,0.9774264813734039,0.8947815135772001,0.8844973685198833,0.9056652009414946,-24.08964590600277,-25.882325384419918,-22.42295722582995,-11.907967675680359,-13.600131023131441,-10.265578512150762,-0.03565192592592593,-0.03800595238095238,-0.03291957671957672,-0.9936550436781018,-0.993892650381226,-0.993398794955117,benefit
circle,0.2,44,50,1000,-0.2385130409585505,-0.26503891768116355,-0.20920126546696088,0.9806694357199228,0.9792328554609422,0.9820676101770951,0.9253500877846873,0.9199814233996952,0.9308830563911968,40.68646578031911,37.02793175946097,43.953057554250066,46.59458238695791,42.79337996669936,49.930414226711896,0.09543192063492065,0.08201560846560846,0.10704616402116401,-0.9938558846513779,-0.9941545350064762,-0.9935497780385067,harm_cost_dominance
circle,0.2,56,50,1000,0.27789411202063713,0.21861828667985905,0.339670023673575,0.9688023266766739,0.9664615922955135,0.9710317815287166,0.878051994166668,0.8714136068940669,0.8843587133406379,-20.426876883386743,-26.12515945047919,-14.459334532210203,-11.429732586881906,-16.2927965739295,-6.31605166385216,-0.04689126455026455,-0.04946560846560847,-0.04192539682539683,-0.9953476112244778,-0.9956244246082969,-0.9950613544797899,benefit
circle,0.2,68,50,1000,0.2724614543620095,0.2460695136156102,0.29596766013386555,0.9829713996951053,0.9810162007287772,0.9847215828535241,0.936000380611071,0.9305015465022839,0.9410828077109881,-8.531718978437947,-9.747773974319713,-7.225516591939359,-3.5900391755381396,-4.524412461162008,-2.5216150151847883,-0.031665386243386245,-0.03427619047619048,-0.029121693121693125,-0.991977442287686,-0.9922109316378372,-0.9917397755291311,benefit
circle,0.3,0,50,1000,-0.02958262220133191,-0.03379353887809727,-0.02550132995942807,0.41826934870276056,0.4094840897089757,0.4270578660270822,0.2900261299439778,0.2830013190562512,0.2976480242175976,14.947646960455456,13.604766105648652,16.476178249661192,92.22691290204118,90.62378286003114,93.86848186045145,0.051199317460317466,0.04484973544973545,0.05837579365079365,-0.9572633927527642,-0.9579737776326842,-0.9565632900669822,harm_cost_dominance
circle,0.3,8,50,1000,0.0048728459411175535,-0.0010022445877340329,0.010732880807397076,0.7148781548630461,0.6998713880370359,0.7295661957847724,0.5003809230884813,0.4870425149962304,0.51390739143781,8.77672373562295,6.2944769306728,11.295433379835108,48.9501389834625,47.38490274882885,50.62849188369917,-0.013448470899470901,-0.017153439153439157,-0.009015476190476194,-0.9766355004239776,-0.9773956918311649,-0.9758344952170986,benefit
circle,0.3,18,50,1000,0.04388361898369055,0.030109168915746533,0.05846041831057132,0.7450749154243052,0.7276970247598282,0.7636875657320062,0.5560828684030663,0.5347342488341722,0.5789634971611423,3.626812597015198,-1.5383425948673248,8.94510832593346,38.34612803468951,33.13143543588598,43.58994967852701,0.007740402116402114,-0.0014076719576719629,0.017038095238095238,-0.9804473097133143,-0.9813050196037948,-0.9796427138834738,benefit
circle,0.3,26,50,1000,0.1414192144205713,0.1308113901642039,0.15264604688160777,0.6308378328490278,0.6116723784370762,0.6491920858603861,0.48110843505244916,0.4618993076770121,0.502317807594692,-10.168483725268855,-12.955188038482117,-7.511258459935633,14.352528280751718,11.822519779815304,16.913104618866438,-0.037232201058201055,-0.03919589947089948,-0.03527486772486773,-0.9790192748489451,-0.979817338707148,-0.97826062035781,benefit
circle,0.3,34,50,1000,0.32895071534013687,0.3112405949077343,0.34747159028842306,0.5847182936779799,0.5629948921812165,0.6055297068404911,0.41962281588401074,0.39853489839898765,0.43985866037677496,-31.203991683980682,-33.344249884915264,-29.10516085087804,-8.690476896711715,-10.53984527663663,-6.753592945263517,-0.04708771957671958,-0.04797896825396826,-0.04607936507936508,-0.9753916298059763,-0.9763016224996117,-0.9744115339313423,benefit
circle,0.3,44,50,1000,-0.19402787640457617,-0.21983284444200832,-0.16636106359659653,0.6573296631592723,0.6393856535565662,0.6758466313521192,0.5502861404678326,0.5298433712853566,0.5719801319113665,37.23511260473107,32.89257940938733,41.39554328301874,50.99886181684379,46.75621475853262,54.98799118081304,0.07944517989417989,0.06312592592592593,0.09377116402116402,-0.9759856932667876,-0.9766180858973716,-0.9753338856614434,harm_cost_dominance
