traj,tr,delay,mc,rmse_honest,rmse_t3,gap_h_minus_t3,osc_honest,osc_t3,osc_change_pct,edot_honest,edot_t3,edot_change_pct,tail_q95_honest,tail_rate_honest,tail_rate_t3,tail_delta,tail_mse_share_honest,tail_mse_share_t3,energy_relief,abs_relief,vel_oppose,delta_perp_abs,delta_norm,raw_cos_vel,mechanism_class
circle,0.2,0,50,0.2791769509306524,0.3387480902324341,-0.05957113930178165,0.2451378766162526,0.24880649356071916,1.4965524687947598,0.014675605995337206,0.017586541504536136,19.83519801448371,0.5104914622594545,0.05,0.13105291005291006,0.08105291005291006,3.9470256399510313,2.870475156469108,0.5560404588078831,0.34523095468138754,-0.5951849949389888,0.04466476741821336,0.04733686198135032,-0.9938490978092708,harm_cost_dominance
circle,0.2,8,50,0.3312298034597301,0.29055873391605375,0.04067106954367633,0.28731325688326625,0.28698833077183106,-0.11309123531535556,0.015810529085148066,0.018858051214127508,19.275269741918,0.6167579089216568,0.05,0.022671957671957673,-0.02732804232804233,4.029935250789819,5.148420210287829,0.9809200932453525,0.9322267113329389,-0.6208687151776214,0.04044632363324384,0.043292275701002934,-0.9957188739769482,benefit
circle,0.2,18,50,0.5108834007588662,0.42339251788126264,0.08749088287760354,0.3928513389147824,0.3040303644432177,-22.60930934248534,0.01801028220594961,0.018606142858855878,3.308447064068453,0.8427387950897179,0.05,0.03179365079365079,-0.018206349206349212,3.430745082642288,4.706339721178801,0.9862391070327362,0.9499766488799086,-0.608892089129686,0.038429942767324095,0.04084364465919722,-0.996403981543184,benefit
circle,0.2,26,50,0.8031555164651913,0.7183966512596427,0.08475886520554865,0.6124159036548705,0.6027430268209651,-1.5794620577555707,0.02477324844761345,0.026890684939777997,8.547270240141065,1.4721370240956984,0.05,0.027121693121693123,-0.02287830687830688,4.228631688263611,5.023342050916187,0.9791269992436007,0.9305447639829693,-0.5337674878054205,0.050571932498282415,0.05541226210244815,-0.9939078095012995,benefit
circle,0.2,34,50,1.2253311221840357,1.0027584477077216,0.22257267447631413,1.0829991516128963,0.8221227591814201,-24.088328420453102,0.03632197914207081,0.031997357231727454,-11.906349853098163,2.229158264805185,0.05,0.014216931216931216,-0.035783068783068785,3.7533440611666595,5.300297280410014,0.9745353029273578,0.8948795372939911,-0.4898507648749715,0.053592580559691835,0.05992439155622499,-0.9936556782103801,benefit
circle,0.2,44,50,1.2445857055475191,1.483102084869074,-0.23851637932155478,0.9347140269161547,1.3149970960739379,40.684429483958986,0.027976697370407106,0.04101639374154475,46.60913401617069,2.217147061643372,0.05,0.14547089947089947,0.09547089947089947,3.5820821485152683,3.1455123805958114,0.9806553987473449,0.925376841690553,-0.3680964235094366,0.05287615516671756,0.06439951795951311,-0.9938597656378931,harm_cost_dominance
circle,0.2,56,50,1.8129162674356918,1.5356179148105065,0.2772983526251853,1.3179216800728002,1.0480426194702332,-20.477625088271893,0.034179521446523004,0.03026673329381887,-11.447755811068253,3.308160133630183,0.05,0.0029365079365079364,-0.047063492063492064,4.631012121996077,5.7959690261790815,0.9688427861146723,0.8780146781171452,-0.4787598968004723,0.03739061858209674,0.04136418682445019,-0.9953434023148273,benefit
circle,0.2,68,50,3.0508613080611706,2.777992121990666,0.2728691860705048,2.7716375519143743,2.534931665133128,-8.540290075723208,0.057481948485398365,0.05541313986336807,-3.5990579242800447,5.172529879841792,0.05,0.018375661375661375,-0.031624338624338624,3.118550840437192,3.6129146300483965,0.9830301866158858,0.9361594876109822,-0.20147674975558222,0.05178578068304948,0.07212864884028825,-0.9919855562939585,benefit
circle,0.3,0,50,0.2865408956977275,0.3160649458796109,-0.02952405018188342,0.25133215098406597,0.2887774483900106,14.89872953348083,0.015018124275035776,0.02887071564747685,92.23915795227154,0.5232982251123841,0.05,0.10091005291005291,0.050910052910052905,3.8955701855330522,3.733024807000512,0.41828447637443206,0.2900505945921239,-0.673319182121233,0.2566695352554446,0.27789840787477915,-0.9572420569673912,harm_cost_dominance
circle,0.3,8,50,0.34082742258757365,0.3358533920023994,0.0049740305851742606,0.3046084382085665,0.33118703757919377,8.725496748170047,0.01619764301865364,0.024117775793463348,48.896822613016624,0.6223264316077981,0.05,0.036365079365079364,-0.013634920634920639,3.8508332673123835,4.290300779378583,0.7148932457506555,0.5003599797990257,-0.6459257021605641,0.14016809710086262,0.1502053385155871,-0.9766407722060975,benefit
