frame,time,vote_frame_index,N,m_t_state_induced,m_t_same_state,J_frame_state_induced,J_frame_same_state,aggregate_jump_state_x,aggregate_jump_state_y,aggregate_jump_state_norm,aggregate_jump_same_state_x,aggregate_jump_same_state_y,aggregate_jump_same_state_norm,agg_norm_z0,agg_norm_zT3_cf,agg_norm_zT3_actual,min_abs_margin_z0,min_abs_margin_zT3_cf,min_abs_margin_zT3_actual,mean_abs_margin_z0,mean_abs_margin_zT3_cf,mean_abs_margin_zT3_actual,no_switch_state_induced,no_switch_same_state,coupling_convention
0,0.0,0,50,4,15,1,1,0.0,-0.011715728752538098,0.011715728752538098,0.0,-0.6,0.6,0.9732827033362805,0.9615983116196286,0.3658925712150775,0.5026467022945269,1.4649246260677273,1.4649246260677273,15.494439906402654,15.309457662351342,15.285825722514105,False,False,aligned_deterministic_seeds_not_common_randomness
18,0.3,1,50,1,15,1,1,0.01414213562373095,0.005857864376269049,0.01530733729460359,0.0,-0.6,0.6,0.9886889302480972,0.9942427197734528,0.3943957695944969,8.594843527488138,6.980949476613631,6.980949476613631,16.285904012883947,16.64526801240253,14.813755791878945,False,False,aligned_deterministic_seeds_not_common_randomness
36,0.6,2,50,1,15,1,1,-0.01414213562373095,-0.005857864376269049,0.01530733729460359,0.0,-0.6,0.6,1.0,0.9942427197734528,0.3943957695944969,3.560126630572654,4.730846642933614,4.730846642933614,12.647026739599196,10.53928688681001,13.691759540119849,False,False,aligned_deterministic_seeds_not_common_randomness
54,0.9,3,50,13,15,1,1,-0.18384776310850243,-0.07615223689149765,0.19899538482984674,0.21213203435596434,-0.5121320343559641,0.554327719506772,0.9340946799829152,0.9833420792978613,0.4999767962810799,0.01847545553991381,0.04852334954068738,0.04852334954068738,3.134052751066353,6.284213683852663,10.467607604364343,False,False,aligned_deterministic_seeds_not_common_randomness
72,1.2,4,50,0,15,0,1,0.0,0.0,0.0,0.4242640687119287,-0.4242640687119287,0.6000000000000002,0.9999999999999992,0.9999999999999992,0.40000000000000013,4.8700541550423395,13.289289160625088,2.6580319113452333,18.619077942022194,20.27445838469269,14.676905361394125,True,False,aligned_deterministic_seeds_not_common_randomness
90,1.5,5,50,1,15,1,1,-0.005857864376269049,-0.01414213562373095,0.01530733729460359,0.4242640687119287,-0.4242640687119287,0.6000000000000002,0.9999999999999992,0.9942427197734521,0.3943957695944971,6.4602366340717765,0.1294307083585693,0.1294307083585693,11.548302069853515,16.291926712534305,18.131632551359306,False,False,aligned_deterministic_seeds_not_common_randomness
108,1.8,6,50,0,15,0,1,0.0,0.0,0.0,0.4242640687119287,-0.4242640687119287,0.6000000000000002,0.9999999999999992,0.9999999999999992,0.40000000000000013,3.030940929860435,6.562686016682903,6.562686016682903,6.318562545442348,18.931787494046816,19.30918793732205,True,False,aligned_deterministic_seeds_not_common_randomness
126,2.1,7,50,16,15,1,1,0.0820101012677667,0.19798989873223338,0.21430272212445037,0.4242640687119287,-0.4242640687119287,0.6000000000000002,0.9364746916486046,0.9942427197734521,0.3943957695944971,0.0021818953275953845,2.165718045113806,2.165718045113806,2.693389435709162,19.537142563845578,20.261679926348254,False,False,aligned_deterministic_seeds_not_common_randomness
144,2.4,8,50,49,15,1,1,0.28703535443718314,0.692964645562816,0.7500595274355754,0.4242640687119287,-0.4242640687119287,0.6000000000000002,1.0,0.9942427197734521,0.3943957695944971,3.648495005416777,4.75268408560342,4.75268408560342,6.844517976809393,16.51310268740813,17.53753189437797,False,False,aligned_deterministic_seeds_not_common_randomness
162,2.7,9,50,39,15,1,1,0.22845671067449275,0.5515432893255068,0.5969861544895397,0.4535533905932738,-0.35355339059327384,0.5750744978858433,1.0,0.9484086921276196,0.37458987665944216,13.443098634362798,0.20375239106030563,0.20375239106030563,18.009127607806576,2.983070508410264,8.584124361610584,False,False,aligned_deterministic_seeds_not_common_randomness
