model,cluster,term,estimate,ci95_low,ci95_high,excludes_zero
adjusted,base_condition_id,intercept,0.1979362432266654,0.03517038844244826,0.37809775990072964,True
adjusted,base_condition_id,q_coarseness,1.78933695070157,1.0206595974980215,2.582424047344552,True
adjusted,base_condition_id,vote_event,0.0022443657672768236,-0.20284359127688634,0.20291084384549252,False
adjusted,base_condition_id,path_event,0.1422354746609856,-0.35161691173553694,0.6573028398502955,False
adjusted,base_condition_id,q_x_vote,-4.33656813239022,-5.492429253692174,-3.2638380886607847,True
adjusted,base_condition_id,q_x_path,0.9623487384815014,-0.6910745281293086,2.7330935856447742,False
adjusted,base_condition_id,vote_x_path,-0.44335884771476514,-0.8139220880401297,-0.08926858962707715,True
adjusted,base_condition_id,traj_lemniscate,0.06252105428635646,0.02868796745231608,0.097849221234355,True
adjusted,base_condition_id,traj_square,-0.09009606029129114,-0.12694646417201705,-0.05790449352692784,True
adjusted,base_condition_id,traj_zigzag,0.10239378377433808,0.07462653760516827,0.13024659392066862,True
adjusted,base_condition_id,delay_34,0.016365457395024374,-0.006564675373054105,0.037572854530379646,False
adjusted,base_condition_id,tr_0.35,-0.01704377866400597,-0.04115766281313898,0.005390990228545926,False
