model,cluster,term,estimate,ci95_low,ci95_high,excludes_zero
base,paired_id,intercept,0.18752715767946804,0.004196933286143027,0.37661165900972804,True
base,paired_id,q_coarseness,1.7924527150310559,0.8201556877956976,2.734079368539972,True
base,paired_id,vote_event,0.02188131657958703,-0.18363321709725405,0.2134073769594938,False
base,paired_id,path_event,0.2271932294295514,-0.1765757135752231,0.6676016930463369,False
base,paired_id,q_x_vote,-4.251898150201222,-5.479750631163457,-2.9585911910598433,True
base,paired_id,q_x_path,0.8875782397533126,-0.4610027044475732,2.4273251619252223,False
base,paired_id,vote_x_path,-0.48944072765046276,-0.8555926231675266,-0.11893812881480786,True
adjusted,paired_id,intercept,0.1979362432266654,0.021066958807439924,0.3805161724772563,True
adjusted,paired_id,q_coarseness,1.78933695070157,0.8906885224169497,2.6964762082085074,True
adjusted,paired_id,vote_event,0.0022443657672768236,-0.19708706138802423,0.1993590043454901,False
adjusted,paired_id,path_event,0.1422354746609856,-0.2706635461180106,0.6017942350573092,False
adjusted,paired_id,q_x_vote,-4.33656813239022,-5.582735296017866,-3.1039231927929785,True
adjusted,paired_id,q_x_path,0.9623487384815014,-0.38125231239169893,2.4958696216883482,False
adjusted,paired_id,vote_x_path,-0.44335884771476514,-0.8158050482451908,-0.08510815198242302,True
base,base_condition_id,intercept,0.18752715767946804,0.016010966018074932,0.3625414380056225,True
base,base_condition_id,q_coarseness,1.7924527150310559,1.0387667202953597,2.5845431754128976,True
base,base_condition_id,vote_event,0.02188131657958703,-0.17427279172388005,0.2181754939705166,False
base,base_condition_id,path_event,0.2271932294295514,-0.25747696023025746,0.7398755568146314,False
base,base_condition_id,q_x_vote,-4.251898150201222,-5.4034147259707535,-3.130671770019475,True
base,base_condition_id,q_x_path,0.8875782397533126,-0.719331669036859,2.582567147831683,False
base,base_condition_id,vote_x_path,-0.48944072765046276,-0.853389544265579,-0.1343787970357561,True
adjusted,base_condition_id,intercept,0.1979362432266654,0.038567067724099,0.36106552089926297,True
adjusted,base_condition_id,q_coarseness,1.78933695070157,1.0318199902896223,2.577387917244715,True
adjusted,base_condition_id,vote_event,0.0022443657672768236,-0.19004843843639874,0.20131597297362905,False
adjusted,base_condition_id,path_event,0.1422354746609856,-0.35169454325994215,0.6650838287941776,False
adjusted,base_condition_id,q_x_vote,-4.33656813239022,-5.498083057769575,-3.2102487347204516,True
adjusted,base_condition_id,q_x_path,0.9623487384815014,-0.6241369877310052,2.7020391812554307,False
adjusted,base_condition_id,vote_x_path,-0.44335884771476514,-0.8143680043235108,-0.08788385016770434,True
