intercept,q_coarseness,vote_event,path_event,q_x_vote,q_x_path,vote_x_path
0.15511428944351863,1.8618032640290434,0.05053899435740572,0.4436712068527503,-4.1269213195809735,0.4144212920441951,-0.7351227891857361
0.24206915994760841,1.3941842814876062,-0.06548086796336017,0.4245632626905816,-3.492558530629445,-0.06473787989369144,-0.6112009223352882
0.26528734837048007,1.727845602748446,-0.0643100640883445,0.07330214421197015,-4.156382764940417,0.7927574750019631,-0.3017291545037868
0.13355491318537763,2.4270693639297436,0.10122616074974644,0.033515603138756844,-5.1682678533272695,0.8487039456996393,-0.2811499292591044
0.24106917086445548,1.6386230137221864,0.012822804516137154,0.1375252205610643,-4.369564284574506,2.048643251200329,-0.6460576823225306
0.13518447198969497,1.8570510352238128,0.0671227664087577,0.26797761231979556,-4.13380199011684,1.1905322652024952,-0.5863477420034695
0.26421001814714096,1.7269935038666895,-0.02897365642273697,-0.1239838015737362,-4.465711315129311,1.8473787282356222,-0.2667972941870951
0.1373282223671514,1.9104597557063199,0.0643353436507137,0.23671719206806305,-4.258014935695893,0.18199984315692816,-0.4048081780768775
0.21047504668658318,1.976758545953843,-0.010720140697812353,-0.190211856409548,-4.386229297297085,1.736278820247053,-0.123006191826049
0.3069695967475595,1.4326874114428862,-0.12239964553398142,0.1496585988899586,-3.6584153868827944,0.5309367751409922,-0.35658282934502517
0.2813716257544262,1.2817275509783066,-0.11011137679554506,0.30408289902746116,-3.4569084101937007,0.3897759932473057,-0.4326875531360628
0.09776727934856254,1.9477218466548387,0.08450950694966597,0.6649851396293919,-4.098164545840752,-0.15631097525081455,-0.8384573267086624
0.09886480870209187,1.670663955339796,0.0983476567703192,0.36976222826825156,-3.8537993452287167,1.0810985950524805,-0.7300493468513083
0.033451834993696306,2.5717935787587556,0.17746725990361645,0.6158212093482998,-5.152341294288462,0.26720338075753985,-0.7413406147772521
0.09011098874785499,2.2400902218082526,0.11646895491447617,0.7963023146307417,-4.822858508819165,-1.3659598783844564,-0.7660193988892787
0.28358613231009233,1.4341253711442437,-0.10695200034608732,0.30630318291584196,-3.562401661359133,0.5525892869801011,-0.5564356314489879
0.08565312657362135,2.110736039462564,0.13010199537462386,0.26688110866350157,-4.389592618901388,1.4164130335549943,-0.7035471644608338
0.12384059300590068,2.4094396424132856,0.08705250972502165,0.2670263726454045,-4.913978471334523,0.03935594844886105,-0.4173389264586417
0.1380201826302138,1.8536261477588027,0.03736979525359363,0.38332236973366224,-4.053191298632537,-0.4599437653914602,-0.39680985317348394
0.3282927801816472,1.7198798019206518,-0.08977808506378682,-0.06924579143226581,-4.50222280689706,0.823029005167961,-0.2087733354471736
0.1016565107185007,2.2536259630260917,0.11028844418386141,0.18578639493492438,-4.521022860977511,1.696269377810642,-0.6893051306018876
0.029009458288948797,2.0896916323980195,0.15799550131387563,0.9539930110141881,-4.352404927985235,-0.5404164398262062,-1.038928240182638
