model,model_class,label,evaluation_scope,n_cells_evaluated,features,free_parameters,correlation_with_rmse_gap,r2_loocv_or_score,mae_rmse_gap,sign_accuracy,balanced_accuracy,false_benefit,false_harm,trajectory_wise_accuracy,delay_wise_accuracy,minority_fraction_wise_accuracy,notes
A_scalar_delay_feedback,A,Scalar delayed-feedback baseline,archive-only cell-level evaluation,96,"delay, tr, delay_x_tr",4,0.6346732723246932,0.4007708864038425,0.16213721720678684,0.8229166666666666,0.6132478632478633,13,4,"{""circle"": 0.7916666666666666, ""lemniscate"": 0.75, ""square"": 0.9583333333333334, ""zigzag"": 0.7916666666666666}","{""0"": 0.5, ""18"": 0.8333333333333334, ""26"": 1.0, ""34"": 1.0, ""44"": 0.8333333333333334, ""56"": 0.9166666666666666, ""68"": 0.8333333333333334, ""8"": 0.6666666666666666}","{""0.2"": 0.8125, ""0.3"": 0.78125, ""0.4"": 0.875}",Archive-only cell-level evaluation using latency and minority fraction only.
B_archived_relief_only,B,Archived relief-only model,archive-only cell-level evaluation,96,energy_relief,2,0.2448820709326059,0.05207959376344684,0.2254397015591807,0.8125,0.5,18,0,"{""circle"": 0.7083333333333334, ""lemniscate"": 0.6666666666666666, ""square"": 0.9583333333333334, ""zigzag"": 0.9166666666666666}","{""0"": 0.4166666666666667, ""18"": 0.8333333333333334, ""26"": 1.0, ""34"": 1.0, ""44"": 0.8333333333333334, ""56"": 0.9166666666666666, ""68"": 0.8333333333333334, ""8"": 0.6666666666666666}","{""0.2"": 0.84375, ""0.3"": 0.78125, ""0.4"": 0.8125}",Archive-only cell-level evaluation; tests local relief alone.
C_relief_cost_balance,C,Relief plus cost balance,archive-only cell-level evaluation,96,"energy_relief, abs_relief, osc_change_pct, edot_change_pct, tail_delta, delta_perp_abs",7,0.7831296824488767,0.6078980949512564,0.13873221826559223,0.90625,0.75,9,0,"{""circle"": 0.7916666666666666, ""lemniscate"": 0.9166666666666666, ""square"": 1.0, ""zigzag"": 0.9166666666666666}","{""0"": 0.6666666666666666, ""18"": 0.9166666666666666, ""26"": 1.0, ""34"": 1.0, ""44"": 1.0, ""56"": 0.9166666666666666, ""68"": 0.8333333333333334, ""8"": 0.9166666666666666}","{""0.2"": 0.9375, ""0.3"": 0.90625, ""0.4"": 0.875}",Archive-only cell-level evaluation combining local relief and mistiming/tail costs.
D_projection_proxy,D,Archived normalized projection proxy,archive-only cell-level evaluation,96,"normal_projection_fraction, delta_norm, raw_cos_vel",4,0.4928509113008769,0.23861528341269622,0.19319228260131024,0.78125,0.5235042735042735,16,5,"{""circle"": 0.6666666666666666, ""lemniscate"": 0.6666666666666666, ""square"": 0.875, ""zigzag"": 0.9166666666666666}","{""0"": 0.5, ""18"": 0.75, ""26"": 0.9166666666666666, ""34"": 1.0, ""44"": 0.8333333333333334, ""56"": 0.9166666666666666, ""68"": 0.8333333333333334, ""8"": 0.5}","{""0.2"": 0.78125, ""0.3"": 0.75, ""0.4"": 0.8125}",Archive-only cell-level projection proxy; not direct vector theorem validation.
D_anti_heading_velocity_proxy,D,Anti-heading / velocity proxy,archive-only cell-level evaluation,96,"raw_cos_vel, vel_oppose",3,-0.3110918404563356,-0.04361503263394573,0.22139042008915585,0.8125,0.5,18,0,"{""circle"": 0.7083333333333334, ""lemniscate"": 0.6666666666666666, ""square"": 0.9583333333333334, ""zigzag"": 0.9166666666666666}","{""0"": 0.4166666666666667, ""18"": 0.8333333333333334, ""26"": 1.0, ""34"": 1.0, ""44"": 0.8333333333333334, ""56"": 0.9166666666666666, ""68"": 0.8333333333333334, ""8"": 0.6666666666666666}","{""0.2"": 0.84375, ""0.3"": 0.78125, ""0.4"": 0.8125}",Archive-only proxy for anti-heading and velocity-opposition diagnostics.
E_topology_aware_hybrid,E,Relief-cost-topology hybrid,archive-only cell-level evaluation,96,"energy_relief, abs_relief, osc_change_pct, edot_change_pct, tail_delta, normal_projection_fraction, corner_or_piecewise, branch_ambiguity",9,0.7965082717237203,0.6251354345473948,0.12116669701059068,0.8958333333333334,0.7435897435897436,9,1,"{""circle"": 0.75, ""lemniscate"": 0.9166666666666666, ""square"": 1.0, ""zigzag"": 0.9166666666666666}","{""0"": 0.75, ""18"": 0.8333333333333334, ""26"": 1.0, ""34"": 1.0, ""44"": 1.0, ""56"": 0.9166666666666666, ""68"": 0.8333333333333334, ""8"": 0.8333333333333334}","{""0.2"": 0.90625, ""0.3"": 0.875, ""0.4"": 0.90625}",Archive-only cell-level evaluation with circle as baseline and two topology penalties.
F_direct_frenet_projection_selected,F,Direct Frenet/projection replay on selected cells,partial Frenet-frame evaluation; instrumented replay selected cells,4,frame_energy_relief direct score,0,0.23385099745587326,0.054686289011106844,,0.75,0.75,1,0,"{""circle"": 0.5, ""lemniscate"": 1.0}","{""0"": 1.0, ""26"": 1.0, ""34"": 1.0, ""44"": 0.0}","{""0.2"": 0.5, ""0.3"": 1.0}",Pre-specified direct local projection score from copied-engine replay. It checks local relief on selected cells but is not a calibrated global RMSE-gap predictor.
