traj,tr,delay,observed_gap,gap_hat_E_locked,gap_hat_A,v3_option_a_correction,error_type,residual_class,mechanism_class,gap_ci_low,gap_ci_high,gap_ci_includes_zero,frame_energy_relief,frame_abs_relief,energy_relief,abs_relief,cost_index,osc_change_pct,edot_change_pct,tail_delta,rms_eta,mean_abs_kappa,relief_consistency_overshoot_availability_index_mean,corner_turn_phase_index_mean,z_RCOAI,z_CTPI,state_feature_rmse_t3_abs_diff
circle,0.225,1,-0.07106444247172644,0.11520981122678944,0.11451671335578424,-0.0006930978710051955,false_benefit,low-delay no-overshoot,harm_cost_dominance,-0.07396243158928409,-0.06816645335416885,False,0.5895220516925805,0.4076236433446364,0.5895220516925805,0.4076236433446364,0.8676294757352206,2.2587877167202732,21.824539293597237,0.10388888888888888,0.34661934083501367,0.09999999999999998,0.17761288379361362,0.0024217812285308375,-0.24248127146745263,-0.6482644406950803,0.0
circle,0.225,5,-0.021558287028470235,0.04167349411125287,0.04338755952391528,0.001714065412662406,false_benefit,near-neutral/uncertain boundary,harm_cost_dominance,-0.02691006560526057,-0.016206508451679872,False,0.9339833137883367,0.8127201943592879,0.9339833137883367,0.8127201943592879,0.2360690105977495,4.8964278764975,24.349103123475583,0.014486772486772478,0.3036829315213818,0.09999999999999998,0.554103959025482,0.011785686301470708,0.5996682114143278,-0.6436516415326736,0.0
circle,0.225,52,0.0001497090068161011,-0.046839371857158696,-0.044825259010253006,0.0020141128469056873,false_harm,near-neutral/uncertain boundary,benefit,-0.05799068158304294,0.05829009959667666,True,0.9797871766589589,0.9213243556234736,0.9797871766589589,0.9213243556234736,0.5180789085373577,13.97504234397229,19.79480473206234,0.018724867724867728,1.6484231416293642,0.09999999999999998,0.6010327161668341,0.10126176067648159,0.7046402310950987,-0.5995743940897006,0.0
circle,0.325,1,-0.02313135571165592,0.13733315648306607,0.13596111253701929,-0.00137204394604679,false_benefit,near-neutral/uncertain boundary,harm_cost_dominance,-0.02672853970865663,-0.019534171714655157,False,0.4238198250468849,0.2921582947910723,0.4238198250468849,0.2921582947910723,1.012237041320113,8.8774690556401,107.37921582377004,0.03504761904761905,0.3016540953464289,0.09999999999999998,0.07142268907304468,0.002246647739597602,-0.48001151708075684,-0.6483507140612418,0.0
circle,0.325,5,-0.01471569638904946,0.17130476118271024,0.17007003762205633,-0.0012347235606539164,false_benefit,near-neutral/uncertain boundary,harm_cost_dominance,-0.02098330656844707,-0.008448086209651911,False,0.48743190509347406,0.33212998854529874,0.48743190509347406,0.33212998854529874,0.5772237935297934,2.532177212037099,78.79685711687732,0.025820105820105813,0.306376765751018,0.09999999999999998,0.09290020989541552,0.011504304259101712,-0.43196978583121015,-0.6437902545193758,0.0
circle,0.325,52,-0.0026810890101769402,0.09056057517813873,0.0898360932648846,-0.0007244819132541214,false_benefit,near-neutral/uncertain boundary,harm_cost_dominance,-0.044846189638129266,0.03948401161777547,True,0.3966231900393767,0.2868657107469833,0.3966231900393767,0.2868657107469833,0.7057431990090496,18.395532204604837,30.990758669637707,0.01726455026455026,1.6703490353398107,0.09999999999999998,0.17270427959065415,0.09800033921652872,-0.2534610230821431,-0.6011810188965027,0.0
circle,0.425,1,-0.04528619636496889,0.022716441166661577,0.021852724726265642,-0.0008637164403959337,false_benefit,low-delay no-overshoot,harm_cost_dominance,-0.04806440114185877,-0.04250799158807919,False,0.5369650079604447,0.3901729035295678,0.5369650079604447,0.3901729035295678,2.284368099153314,21.24654899201331,199.72562042680647,0.0787037037037037,0.32647698356451005,0.09999999999999998,0.15092737846031093,0.001716833771195868,-0.30217241953262086,-0.6486117083163777,0.0
lemniscate,0.225,1,-0.07233582077976744,0.15457173824960835,0.15310427089981837,-0.0014674673497899777,false_benefit,lemniscate branch/topology,harm_cost_dominance,-0.07535831783182666,-0.06931332372770825,False,0.1294006218166544,0.047656569995058164,0.1294006218166544,0.047656569995058164,1.7501000419787354,29.956126431249974,20.617066447518138,0.11034391534391534,0.31831579937665916,0.12386676181435226,0.05649804307112504,0.00902575623132389,-0.5133955299819114,-0.6450112242085665,0.0
lemniscate,0.225,16,-0.07441717772496315,0.04658754210024124,0.04769388034040342,0.0011063382401621821,false_benefit,near-neutral/uncertain boundary,harm_cost_dominance,-0.1538435929127502,0.005009237462823751,True,0.9910048012701043,0.972323531323773,0.9910048012701043,0.972323531323773,4.098956717734613,6.494741788909329,508.4402843860957,0.1332328042328042,0.8539518976895892,0.10503570673852393,0.4590527183495183,0.11568053899961526,0.38705399968769916,-0.5924714890459403,0.0
lemniscate,0.325,1,-0.08207803354766144,0.11275690124821151,0.11073329119156523,-0.0020236100566462752,false_benefit,lemniscate branch/topology,harm_cost_dominance,-0.08780264423877424,-0.07635342285654861,False,0.08393874443484613,0.0629749442653506,0.08393874443484613,0.0629749442653506,2.093957966351848,32.237328048039124,23.18617596655376,0.1423280423280423,0.3304100121126322,0.12276784042718906,-0.03048515707459568,0.007204025726851165,-0.7079628433691069,-0.6459086357991054,0.0
square,0.325,1,0.055357691859351466,-0.020034489392253274,-0.028209572777968366,-0.008175083385715093,false_harm,low-delay corner-onset,benefit,0.04557566930217191,0.06513971441653102,False,-0.09592031615657536,-0.08125296541233062,-0.09592031615657536,-0.08125296541233062,1.7513260670547701,52.19794971540066,31.781293088332564,0.01963492063492063,0.22977335558597375,0.00592731326199001,-0.992603025702359,0.023003598501560335,-2.860064496873608,-0.6381255308344712,0.0
square,0.425,5,0.12845995301916574,-0.05983253553202578,-0.06053170550891136,-0.0006991699768855862,false_harm,low-delay corner-onset,benefit,0.11883780575805185,0.13808210028027967,False,0.5104534060692896,0.3561847446781015,0.5104534060692896,0.3561847446781015,2.2743833204620167,48.066664716687136,192.45279800897111,-0.017058201058201064,0.30095272519243016,0.019180544163234607,0.17666317934799458,0.06593875913414884,-0.2446056063066677,-0.616975030967046,0.0
zigzag,0.225,66,-0.0975558544659787,0.07301390431790392,0.07454240887846889,0.0015285045605649742,false_benefit,high-delay corner/tail,harm_or_neutral_unclear,-0.1368910154679827,-0.05822069346397503,False,0.79529298749098,0.6892333086177709,0.79529298749098,0.6892333086177709,0.15162397524893728,4.492757667126372,-7.082355289109997,0.028375661375661373,2.660620765083129,1.8037739560684272,0.5250814140236072,4.4539018233945775,0.5347494845887596,1.5446009557421885,0.0
zigzag,0.325,66,-0.0405729385616751,0.17277817573448373,0.1730143787393896,0.00023620300490586897,false_benefit,near-neutral/uncertain boundary,harm_or_neutral_unclear,-0.0691348429760815,-0.012011034147269128,False,0.4928232321170929,0.3785468743738504,0.4928232321170929,0.3785468743738504,-0.050060836184040954,1.6432921423990177,-9.49121332320028,0.01589417989417989,2.6024550390859105,1.8967872331356892,0.32295968613125964,5.293245881478566,0.08263595568536773,1.958074345096532,0.0
