paired_id,base_condition_id,mode,q_dirs,q_coarseness,traj,tr,delay,rep,vote_round,frame,err2_pre_vote,vote_bin_switch_rate,vote_switch_chord2_mean,agg_cell_switch,agg_cell_jump_chord2,agg_norm,path_event,endpoint_wrap,branch_event,vote_event,vote_path_coincident,vote_only_event,path_only_event,quiet_event,err2_pre_next_vote,err2_increment_next_vote,positive_err2_increment_next_vote,event_class,err2_increment_next_vote_honest,positive_err2_increment_next_vote_honest,counterfactual_event_cost_sscrn,positive_counterfactual_event_cost_sscrn
sscrn_circle_tr0.25_d12_rep0_q4,sscrn_circle_tr0.25_d12_rep0,T3,4,0.25,circle,0.25,12,0,13,234,0.5263721624251568,0.4,0.8,0.0,0.0,0.52,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5752583103726354,0.048886147947478586,0.048886147947478586,vote_only,0.010834964028831412,0.010834964028831412,0.038051183918647175,0.038051183918647175
sscrn_circle_tr0.25_d12_rep0_q4,sscrn_circle_tr0.25_d12_rep0,T3,4,0.25,circle,0.25,12,0,14,252,0.5752583103726354,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26477419419702813,-0.3104841161756073,0.0,quiet,0.22182337006810163,0.22182337006810163,-0.5323074862437089,0.0
sscrn_circle_tr0.25_d12_rep0_q4,sscrn_circle_tr0.25_d12_rep0,T3,4,0.25,circle,0.25,12,0,15,270,0.26477419419702813,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00225073267690714,-0.262523461520121,0.0,quiet,0.6545629832383908,0.6545629832383908,-0.9170864447585119,0.0
sscrn_circle_tr0.25_d12_rep0_q4,sscrn_circle_tr0.25_d12_rep0,T3,4,0.25,circle,0.25,12,0,16,288,0.00225073267690714,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37563932908458175,0.37338859640767463,0.37338859640767463,quiet,1.44307054756111,1.44307054756111,-1.0696819511534355,0.0
sscrn_circle_tr0.25_d12_rep0_q4,sscrn_circle_tr0.25_d12_rep0,T3,4,0.25,circle,0.25,12,0,17,306,0.37563932908458175,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.053507779350723,1.677868450266141,1.677868450266141,quiet,-1.947562773057909,0.0,3.6254312233240498,3.6254312233240498
sscrn_circle_tr0.25_d12_rep0_q4,sscrn_circle_tr0.25_d12_rep0,T3,4,0.25,circle,0.25,12,0,18,324,2.053507779350723,0.76,1.52,1.0,2.0,0.796994353806851,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2880076524416004,-1.7655001269091224,0.0,vote_only,-0.24629573148051426,0.0,-1.519204395428608,0.0
sscrn_circle_tr0.25_d12_rep0_q4,sscrn_circle_tr0.25_d12_rep0,T3,4,0.25,circle,0.25,12,0,19,342,0.2880076524416004,0.24,0.4799999999999999,0.0,0.0,0.52,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3795942894723612,0.09158663703076075,0.09158663703076075,vote_only,2.318656836688879,2.318656836688879,-2.227070199658118,0.0
sscrn_circle_tr0.25_d12_rep0_q4,sscrn_circle_tr0.25_d12_rep0,T3,4,0.25,circle,0.25,12,0,20,360,0.3795942894723612,0.04,0.08,0.0,0.0,0.48166378315169184,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.3293433295877226,1.9497490401153614,1.9497490401153614,vote_only,-1.670337195704363,0.0,3.6200862358197243,3.6200862358197243
sscrn_circle_tr0.25_d12_rep0_q4,sscrn_circle_tr0.25_d12_rep0,T3,4,0.25,circle,0.25,12,0,21,378,2.3293433295877226,0.72,1.44,1.0,2.0,0.796994353806851,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.32876018804280527,-2.0005831415449173,0.0,vote_only,-0.8518703830364117,0.0,-1.1487127585085055,0.0
sscrn_circle_tr0.25_d12_rep0_q4,sscrn_circle_tr0.25_d12_rep0,T3,4,0.25,circle,0.25,12,0,22,396,0.32876018804280527,0.26,0.52,0.0,0.0,0.5003998401278722,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5150623403241171,0.18630215228131186,0.18630215228131186,vote_only,2.1563765952258604,2.1563765952258604,-1.9700744429445485,0.0
