q_dirs,vote_bin_switch_rate,vote_switch_chord2_mean,agg_cell_switch_rate,agg_cell_jump_chord2_mean,path_event_rate,vote_path_coincident_rate,positive_err2_increment_t3,counterfactual_event_cost_sscrn,positive_counterfactual_event_cost_sscrn,rmse_gap_t3_minus_honest,q_coarseness
4,0.2708109375,0.654825,0.27515625,0.6803125,0.1134375,0.09515625,0.6122775085520501,0.0022600269719581256,0.8446431779663846,-0.20209598458727,0.25
8,0.441615625,0.6746072916272001,0.539921875,1.0564585589978588,0.11328125,0.10859375,0.4123544709745868,0.005007479315931084,0.6210939755752977,-0.20909979080800473,0.125
16,0.6021453125,0.43481693210962147,0.636015625,0.6074361458158082,0.09664062500000001,0.09531250000000001,0.3602534898855445,0.007383283472064931,0.5284092249212331,-0.2125214442004868,0.0625
