base_condition_id,paired_id,q_dirs,traj,tr,delay,rep,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
sscrn_circle_tr0.25_d34_rep4,sscrn_circle_tr0.25_d34_rep4_q4,4,circle,0.25,34,4,1.5629853162914582,1.767396438939749,-0.20441112264829076
sscrn_circle_tr0.25_d34_rep4,sscrn_circle_tr0.25_d34_rep4_q8,8,circle,0.25,34,4,0.9124889999346041,1.2469950573979747,-0.3345060574633706
sscrn_circle_tr0.25_d34_rep4,sscrn_circle_tr0.25_d34_rep4_q16,16,circle,0.25,34,4,0.8203472096063179,0.9347725761190893,-0.11442536651277135
sscrn_circle_tr0.25_d34_rep5,sscrn_circle_tr0.25_d34_rep5_q4,4,circle,0.25,34,5,1.5840495628078064,1.6778792178633248,-0.09382965505551843
sscrn_circle_tr0.25_d34_rep5,sscrn_circle_tr0.25_d34_rep5_q8,8,circle,0.25,34,5,0.9755070153470964,1.2897614361234455,-0.31425442077634913
sscrn_circle_tr0.25_d34_rep5,sscrn_circle_tr0.25_d34_rep5_q16,16,circle,0.25,34,5,0.8264369139329368,0.671620991872037,0.15481592206089978
sscrn_circle_tr0.25_d34_rep6,sscrn_circle_tr0.25_d34_rep6_q4,4,circle,0.25,34,6,1.5661371298624294,1.6069116889658994,-0.040774559103470054
sscrn_circle_tr0.25_d34_rep6,sscrn_circle_tr0.25_d34_rep6_q8,8,circle,0.25,34,6,0.9391839857558549,1.2298239458932383,-0.29063996013738336
sscrn_circle_tr0.25_d34_rep6,sscrn_circle_tr0.25_d34_rep6_q16,16,circle,0.25,34,6,0.8147233065362519,1.0728990878653546,-0.2581757813291027
sscrn_circle_tr0.25_d34_rep7,sscrn_circle_tr0.25_d34_rep7_q4,4,circle,0.25,34,7,1.632425499141488,1.642781144087162,-0.010355644945674092
sscrn_circle_tr0.25_d34_rep7,sscrn_circle_tr0.25_d34_rep7_q8,8,circle,0.25,34,7,0.9239851682106609,1.2289760541178927,-0.3049908859072318
sscrn_circle_tr0.25_d34_rep7,sscrn_circle_tr0.25_d34_rep7_q16,16,circle,0.25,34,7,0.6643477334531475,0.7059754313751957,-0.041627697922048235
sscrn_circle_tr0.35_d12_rep0,sscrn_circle_tr0.35_d12_rep0_q4,4,circle,0.35,12,0,0.7524333484703674,0.7203762935630452,0.032057054907322136
sscrn_circle_tr0.35_d12_rep0,sscrn_circle_tr0.35_d12_rep0_q8,8,circle,0.35,12,0,0.3264156178028798,0.3538784701828461,-0.027462852379966318
sscrn_circle_tr0.35_d12_rep0,sscrn_circle_tr0.35_d12_rep0_q16,16,circle,0.35,12,0,0.2041787944886796,0.2536353374682435,-0.04945654297956392
sscrn_circle_tr0.35_d12_rep1,sscrn_circle_tr0.35_d12_rep1_q4,4,circle,0.35,12,1,0.7084240905106869,0.7463461948557762,-0.03792210434508936
sscrn_circle_tr0.35_d12_rep1,sscrn_circle_tr0.35_d12_rep1_q8,8,circle,0.35,12,1,0.3230471478459483,0.3578388047933786,-0.034791656947430305
sscrn_circle_tr0.35_d12_rep1,sscrn_circle_tr0.35_d12_rep1_q16,16,circle,0.35,12,1,0.19116057403796452,0.26085774013336577,-0.06969716609540125
sscrn_circle_tr0.35_d12_rep2,sscrn_circle_tr0.35_d12_rep2_q4,4,circle,0.35,12,2,0.7387879996489023,0.7230060574948874,0.01578194215401485
sscrn_circle_tr0.35_d12_rep2,sscrn_circle_tr0.35_d12_rep2_q8,8,circle,0.35,12,2,0.36056625753368615,0.35160979027730505,0.008956467256381107
sscrn_circle_tr0.35_d12_rep2,sscrn_circle_tr0.35_d12_rep2_q16,16,circle,0.35,12,2,0.19872478948866448,0.2593984967597017,-0.06067370727103724
sscrn_circle_tr0.35_d12_rep3,sscrn_circle_tr0.35_d12_rep3_q4,4,circle,0.35,12,3,0.7973575794640902,0.738101907741658,0.05925567172243229
sscrn_circle_tr0.35_d12_rep3,sscrn_circle_tr0.35_d12_rep3_q8,8,circle,0.35,12,3,0.3396988757173689,0.35811236639474386,-0.018413490677374966
sscrn_circle_tr0.35_d12_rep3,sscrn_circle_tr0.35_d12_rep3_q16,16,circle,0.35,12,3,0.20994495736595709,0.2656143174126587,-0.05566936004670159
sscrn_circle_tr0.35_d12_rep4,sscrn_circle_tr0.35_d12_rep4_q4,4,circle,0.35,12,4,0.747462144971827,0.7855520317702224,-0.03808988679839542
sscrn_circle_tr0.35_d12_rep4,sscrn_circle_tr0.35_d12_rep4_q8,8,circle,0.35,12,4,0.34061699872867673,0.35459471820223776,-0.013977719473561023
sscrn_circle_tr0.35_d12_rep4,sscrn_circle_tr0.35_d12_rep4_q16,16,circle,0.35,12,4,0.2045033726840513,0.25556471873945247,-0.05106134605540116
sscrn_circle_tr0.35_d12_rep5,sscrn_circle_tr0.35_d12_rep5_q4,4,circle,0.35,12,5,0.7015186947416815,0.794244401222029,-0.0927257064803475
sscrn_circle_tr0.35_d12_rep5,sscrn_circle_tr0.35_d12_rep5_q8,8,circle,0.35,12,5,0.36107286287712037,0.3611667521180625,-9.388924094211326e-05
sscrn_circle_tr0.35_d12_rep5,sscrn_circle_tr0.35_d12_rep5_q16,16,circle,0.35,12,5,0.19537377703607836,0.2587064463292964,-0.06333266929321804
sscrn_circle_tr0.35_d12_rep6,sscrn_circle_tr0.35_d12_rep6_q4,4,circle,0.35,12,6,0.7032124546815903,0.7509645150294041,-0.04775206034781376
sscrn_circle_tr0.35_d12_rep6,sscrn_circle_tr0.35_d12_rep6_q8,8,circle,0.35,12,6,0.3380785351198082,0.34904040506515494,-0.010961869945346758
sscrn_circle_tr0.35_d12_rep6,sscrn_circle_tr0.35_d12_rep6_q16,16,circle,0.35,12,6,0.1783762165901195,0.2597412876866582,-0.0813650710965387
sscrn_circle_tr0.35_d12_rep7,sscrn_circle_tr0.35_d12_rep7_q4,4,circle,0.35,12,7,0.7177648724734385,0.7080184693305919,0.009746403142846582
sscrn_circle_tr0.35_d12_rep7,sscrn_circle_tr0.35_d12_rep7_q8,8,circle,0.35,12,7,0.333024034220224,0.3542177855050781,-0.021193751284854123
sscrn_circle_tr0.35_d12_rep7,sscrn_circle_tr0.35_d12_rep7_q16,16,circle,0.35,12,7,0.20161537154944537,0.2569888675642926,-0.05537349601484726
sscrn_circle_tr0.35_d34_rep0,sscrn_circle_tr0.35_d34_rep0_q4,4,circle,0.35,34,0,1.40055245213634,1.6954716486785575,-0.29491919654221754
sscrn_circle_tr0.35_d34_rep0,sscrn_circle_tr0.35_d34_rep0_q8,8,circle,0.35,34,0,0.5995306806022821,1.2733152714766462,-0.6737845908743642
sscrn_circle_tr0.35_d34_rep0,sscrn_circle_tr0.35_d34_rep0_q16,16,circle,0.35,34,0,0.5092411794657833,0.6764915045401332,-0.1672503250743499
sscrn_circle_tr0.35_d34_rep1,sscrn_circle_tr0.35_d34_rep1_q4,4,circle,0.35,34,1,1.5070250447385916,1.6839454630512778,-0.17692041831268623
sscrn_circle_tr0.35_d34_rep1,sscrn_circle_tr0.35_d34_rep1_q8,8,circle,0.35,34,1,0.5947367597802548,1.263031389879289,-0.6682946300990343
sscrn_circle_tr0.35_d34_rep1,sscrn_circle_tr0.35_d34_rep1_q16,16,circle,0.35,34,1,0.5015582936757188,1.0161122242567908,-0.514553930581072
sscrn_circle_tr0.35_d34_rep2,sscrn_circle_tr0.35_d34_rep2_q4,4,circle,0.35,34,2,1.452378126553776,1.6627529929731992,-0.21037486641942316
sscrn_circle_tr0.35_d34_rep2,sscrn_circle_tr0.35_d34_rep2_q8,8,circle,0.35,34,2,0.5711526652676017,1.3174038241287926,-0.746251158861191
sscrn_circle_tr0.35_d34_rep2,sscrn_circle_tr0.35_d34_rep2_q16,16,circle,0.35,34,2,0.52967363297408,0.6716129517357717,-0.14193931876169175
sscrn_circle_tr0.35_d34_rep3,sscrn_circle_tr0.35_d34_rep3_q4,4,circle,0.35,34,3,1.4392409618025124,1.7198227325918778,-0.2805817707893654
sscrn_circle_tr0.35_d34_rep3,sscrn_circle_tr0.35_d34_rep3_q8,8,circle,0.35,34,3,0.6026298024232035,1.3013423549085923,-0.6987125524853888
sscrn_circle_tr0.35_d34_rep3,sscrn_circle_tr0.35_d34_rep3_q16,16,circle,0.35,34,3,0.5111237385143602,1.06564000191355,-0.5545162633991897
sscrn_circle_tr0.35_d34_rep4,sscrn_circle_tr0.35_d34_rep4_q4,4,circle,0.35,34,4,1.2764119267603287,1.7123313751357647,-0.43591944837543606
sscrn_circle_tr0.35_d34_rep4,sscrn_circle_tr0.35_d34_rep4_q8,8,circle,0.35,34,4,0.5963943585580865,1.2517018735713583,-0.6553075150132718
sscrn_circle_tr0.35_d34_rep4,sscrn_circle_tr0.35_d34_rep4_q16,16,circle,0.35,34,4,0.5164961478597554,1.0629771122854188,-0.5464809644256634
sscrn_circle_tr0.35_d34_rep5,sscrn_circle_tr0.35_d34_rep5_q4,4,circle,0.35,34,5,1.467623293966411,1.707034275153763,-0.23941098118735216
sscrn_circle_tr0.35_d34_rep5,sscrn_circle_tr0.35_d34_rep5_q8,8,circle,0.35,34,5,0.607020973911146,1.3184779020406319,-0.7114569281294859
sscrn_circle_tr0.35_d34_rep5,sscrn_circle_tr0.35_d34_rep5_q16,16,circle,0.35,34,5,0.47432038360317064,0.6848408963209625,-0.21052051271779182
sscrn_circle_tr0.35_d34_rep6,sscrn_circle_tr0.35_d34_rep6_q4,4,circle,0.35,34,6,1.4527717973079113,1.723453427034225,-0.2706816297263137
sscrn_circle_tr0.35_d34_rep6,sscrn_circle_tr0.35_d34_rep6_q8,8,circle,0.35,34,6,0.608384749666175,1.2919483239807141,-0.6835635743145392
sscrn_circle_tr0.35_d34_rep6,sscrn_circle_tr0.35_d34_rep6_q16,16,circle,0.35,34,6,0.49510273131356186,1.085309302187644,-0.5902065708740822
sscrn_circle_tr0.35_d34_rep7,sscrn_circle_tr0.35_d34_rep7_q4,4,circle,0.35,34,7,1.511881010248883,1.6944341300000936,-0.18255311975121047
