outcome,term,estimate,ci95_low,ci95_high,excludes_zero
counterfactual_event_cost_sscrn,intercept_q4_reference,0.6434552968957743,0.541920856732648,0.749284978426796,True
counterfactual_event_cost_sscrn,q8_main,-0.19569653220231348,-0.3145845297936929,-0.06904756683970957,True
counterfactual_event_cost_sscrn,q16_main,-0.37405793686615874,-0.5602439624839937,-0.19969344370697598,True
counterfactual_event_cost_sscrn,vote_event,-1.1202581492540744,-1.286911414434344,-0.9555563848331996,True
counterfactual_event_cost_sscrn,path_event,0.4201913996360198,0.0998251989527918,0.7466629232915344,True
counterfactual_event_cost_sscrn,q8_x_vote,0.6376214771828405,0.46024759653958025,0.8319363308759207,True
counterfactual_event_cost_sscrn,q16_x_vote,0.8442742642391388,0.6226476747768841,1.0772037665928227,True
counterfactual_event_cost_sscrn,q8_x_path,-0.32184570673031593,-0.5700688384996817,-0.08784824665253083,True
counterfactual_event_cost_sscrn,q16_x_path,-0.14240918132284638,-0.4760307535673769,0.15809583161719182,False
counterfactual_event_cost_sscrn,vote_x_path,-0.42034161800730824,-0.7670451200364538,-0.0972782423272695,True
counterfactual_event_cost_sscrn,traj_lemniscate,0.060911382828158056,0.02417487054872205,0.09417750705976276,True
counterfactual_event_cost_sscrn,traj_square,-0.09124890393155605,-0.1332947260869378,-0.059746495348773514,True
counterfactual_event_cost_sscrn,traj_zigzag,0.10334665439357577,0.07783592942787491,0.12844735343126593,True
counterfactual_event_cost_sscrn,delay_34,0.015758943868640185,-0.010881020911002626,0.03639610429762242,False
counterfactual_event_cost_sscrn,tr_0.35,-0.018466900427249494,-0.04149666362679994,0.0054143691885267025,False
