q_dirs,traj,event_class,rows,vote_switch_chord2_mean,agg_cell_jump_chord2_mean,positive_err2_increment_t3,counterfactual_event_cost_sscrn,positive_counterfactual_event_cost_sscrn
4,circle,quiet,1259,0.0,0.0,0.976862005882417,0.751978353359904,1.1799102418714984
4,circle,vote_only,1941,0.7789180834621329,0.7841318907779495,0.4545200851821336,-0.4767017196854692,0.6637404084779753
4,lemniscate,path_only,112,0.0,0.0,1.0303543354237956,0.8425448200384194,1.315661510568003
4,lemniscate,quiet,939,0.0,0.0,0.944141685294956,0.8186177759940929,1.191740061644749
4,lemniscate,vote_only,1471,1.3891502379333787,1.4751869476546566,0.5198293138863715,-0.28251336778670944,0.6596786315981674
4,lemniscate,vote_path_coincident,678,2.151032448377581,2.359882005899705,0.20552421005870147,-0.6725067642343083,0.2707322710597639
4,square,path_only,34,0.0,0.0,4.072969477721741,1.0527822341903579,1.0527822341903579
4,square,quiet,2002,0.0,0.0,0.18500513275380323,0.20598186208466834,0.3194804608690036
4,square,vote_only,1003,0.5625124626121636,0.46061814556331004,0.2603307092695756,-0.378187210224579,0.8048644206851512
4,square,vote_path_coincident,161,1.1304347826086956,1.7391304347826086,0.5307989264712999,-0.3901160556624642,0.28732858482710066
4,zigzag,path_only,88,0.0,0.0,2.022430889497912,1.7583455950963525,2.3018590384869255
4,zigzag,quiet,757,0.0,0.0,1.7625798578999479,1.2983863218325555,2.0953093638501885
4,zigzag,vote_only,1976,1.1344534412955465,1.152834008097166,0.6051135632350912,-0.5595599300155295,0.936455385430453
4,zigzag,vote_path_coincident,379,1.003060686015831,1.0448548812664908,0.6740551993853975,-0.06396060183352921,1.1842691949749984
8,circle,quiet,445,0.0,0.0,0.23888648439981236,0.20528277737477799,0.3240660302590377
8,circle,vote_only,2755,0.4730400828390668,1.0192753044124208,0.1950668353670009,-0.04211051373904597,0.3919298935854235
8,lemniscate,path_only,31,0.0,0.0,0.10492933812263251,-0.013080362267954195,0.1856508507145685
8,lemniscate,quiet,141,0.0,0.0,0.37994997316306994,0.4645680699499525,0.5789869495710193
8,lemniscate,vote_only,2466,0.9664140348813828,1.410664781574052,0.44599564458307106,0.09048746989390467,0.566313756787297
8,lemniscate,vote_path_coincident,562,2.0557413820007837,2.576407696613798,0.16229579913023828,-0.5096219973316678,0.2318721794686665
8,square,path_only,11,0.0,0.0,2.609144709486894,1.5881091498033448,1.6836870682507348
8,square,quiet,551,0.0,0.0,0.21112538175893691,0.23395016768129157,0.29754860129859995
8,square,vote_only,2338,0.45836939713453284,0.8509454809853103,0.24493252138363794,-0.10957950512904259,0.5536008705882454
8,square,vote_path_coincident,300,0.8985246325657914,1.5325245310429358,0.9675041472172787,0.26368460679185646,0.9489716799312832
8,zigzag,path_only,18,0.0,0.0,2.3315186491858295,0.19300597384972962,0.2216382768893673
8,zigzag,quiet,324,0.0,0.0,1.1952893475881896,1.1415755048407839,1.721999479253598
8,zigzag,vote_only,2330,0.8929775217749628,1.1701308922087486,0.6684504260222254,-0.01914165851236355,1.0650768760948153
8,zigzag,vote_path_coincident,528,0.7033741892020153,1.159569587035769,0.7365885862624723,-0.40472553756336577,0.5843294346883657
16,circle,quiet,107,0.0,0.0,0.10628988266320427,0.10807482372660739,0.134508170286596
16,circle,vote_only,3093,0.21160482647388862,0.4446318432345661,0.11944307372193136,-0.008229963478893236,0.16907131112277454
16,lemniscate,path_only,14,0.0,0.0,0.08809578556247677,0.21625803316400735,0.21715768440039449
16,lemniscate,quiet,48,0.0,0.0,0.09514796625176027,0.009665992785767711,0.06335487160268476
16,lemniscate,vote_only,2666,0.4690383397398317,0.6452103568071659,0.26383027964908623,0.01883869518144701,0.3889885523751776
16,lemniscate,vote_path_coincident,472,1.6753013732654725,1.9847327191002564,0.11038983572932126,-0.1054755906557453,0.2909805453899746
16,square,quiet,196,0.0,0.0,0.11660416505101498,0.06341086744027467,0.1225013249793367
16,square,vote_only,2791,0.2602776472822645,0.40761513377172187,0.25563214826004466,-0.03490646707835537,0.4516982721530238
16,square,vote_path_coincident,213,0.7304393074558785,1.3843025198768988,1.213917376752762,0.24938251211795118,0.7966939637827091
16,zigzag,path_only,3,0.0,0.0,2.4515554822862287,-0.07873596726073862,0.0
16,zigzag,quiet,112,0.0,0.0,1.5472221477887171,0.9137804923415349,1.6928456013531386
16,zigzag,vote_only,2550,0.6783002195566253,0.742095082207988,0.7395893871083898,0.05899449403149978,1.1967320204678238
16,zigzag,vote_path_coincident,535,0.4827672801297685,0.7816055811842662,0.759707788204684,-0.21557608838887624,0.6568940509989072
