q_dirs,traj,tr,delay,rep,paired_id,base_condition_id,vote_bin_switch_rate,vote_switch_chord2_mean,agg_cell_switch_rate,agg_cell_jump_chord2_mean,path_event_rate,endpoint_wrap_rate,branch_event_rate,vote_path_coincident_rate,positive_err2_increment_t3,counterfactual_event_cost_sscrn,positive_counterfactual_event_cost_sscrn,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
4,circle,0.35,12,1,sscrn_circle_tr0.35_d12_rep1_q4,sscrn_circle_tr0.35_d12_rep1,0.31679999999999997,0.6335999999999999,0.32,0.64,0.0,0.0,0.0,0.0,0.3947354111758196,0.007298047954328256,0.5051259453728955,0.7084240905106869,0.7463461948557762,-0.03792210434508936
4,circle,0.35,12,2,sscrn_circle_tr0.35_d12_rep2_q4,sscrn_circle_tr0.35_d12_rep2,0.29059999999999997,0.5811999999999999,0.29,0.58,0.0,0.0,0.0,0.0,0.38364087855200435,0.00942911463385796,0.484858565515947,0.7387879996489023,0.7230060574948874,0.01578194215401485
4,circle,0.35,12,3,sscrn_circle_tr0.35_d12_rep3_q4,sscrn_circle_tr0.35_d12_rep3,0.2704,0.5408,0.27,0.54,0.0,0.0,0.0,0.0,0.4072849200496333,-0.0013834975769933763,0.5490531919602637,0.7973575794640902,0.738101907741658,0.05925567172243229
4,circle,0.35,12,4,sscrn_circle_tr0.35_d12_rep4_q4,sscrn_circle_tr0.35_d12_rep4,0.2804,0.5608,0.29,0.58,0.0,0.0,0.0,0.0,0.39292706815258904,-0.008961860495379144,0.5717896530833954,0.747462144971827,0.7855520317702224,-0.03808988679839542
4,circle,0.35,12,5,sscrn_circle_tr0.35_d12_rep5_q4,sscrn_circle_tr0.35_d12_rep5,0.3172,0.6344,0.32,0.64,0.0,0.0,0.0,0.0,0.39479844564868927,0.018281097260415373,0.5180725922978747,0.7015186947416815,0.794244401222029,-0.0927257064803475
4,circle,0.35,12,6,sscrn_circle_tr0.35_d12_rep6_q4,sscrn_circle_tr0.35_d12_rep6,0.31,0.62,0.31,0.62,0.0,0.0,0.0,0.0,0.4010125816833845,0.001251948243857503,0.44913293825132106,0.7032124546815903,0.7509645150294041,-0.04775206034781376
4,circle,0.35,12,7,sscrn_circle_tr0.35_d12_rep7_q4,sscrn_circle_tr0.35_d12_rep7,0.3156,0.6312,0.32,0.64,0.0,0.0,0.0,0.0,0.40426701426505907,0.008977160310107235,0.4783365213990891,0.7177648724734385,0.7080184693305919,0.009746403142846582
4,circle,0.35,34,0,sscrn_circle_tr0.35_d34_rep0_q4,sscrn_circle_tr0.35_d34_rep0,0.1816,0.3632,0.18,0.36,0.0,0.0,0.0,0.0,0.8707805607122533,-0.0022394687961702882,1.1563212645751675,1.40055245213634,1.6954716486785575,-0.29491919654221754
4,circle,0.35,34,1,sscrn_circle_tr0.35_d34_rep1_q4,sscrn_circle_tr0.35_d34_rep1,0.1932,0.3864,0.19,0.38,0.0,0.0,0.0,0.0,1.0034788164851978,0.007739377672078476,1.303453252082432,1.5070250447385916,1.6839454630512778,-0.17692041831268623
4,circle,0.35,34,2,sscrn_circle_tr0.35_d34_rep2_q4,sscrn_circle_tr0.35_d34_rep2,0.18899999999999997,0.37799999999999995,0.19,0.38,0.0,0.0,0.0,0.0,0.9617996845096762,0.005020033971632973,1.266212005341482,1.452378126553776,1.6627529929731992,-0.21037486641942316
4,circle,0.35,34,3,sscrn_circle_tr0.35_d34_rep3_q4,sscrn_circle_tr0.35_d34_rep3,0.1844,0.3688,0.19,0.38,0.0,0.0,0.0,0.0,0.9226802461122157,0.015390057646351232,1.2301287070390017,1.4392409618025124,1.7198227325918778,-0.2805817707893654
4,circle,0.35,34,4,sscrn_circle_tr0.35_d34_rep4_q4,sscrn_circle_tr0.35_d34_rep4,0.2924,0.5848,0.31,0.62,0.0,0.0,0.0,0.0,0.7132469958296278,0.049453744300816005,1.160469708281046,1.2764119267603287,1.7123313751357647,-0.43591944837543606
4,circle,0.35,34,5,sscrn_circle_tr0.35_d34_rep5_q4,sscrn_circle_tr0.35_d34_rep5,0.18280000000000002,0.36560000000000004,0.19,0.38,0.0,0.0,0.0,0.0,0.948440107803785,-0.032216583330362474,1.3117005543966231,1.467623293966411,1.707034275153763,-0.23941098118735216
